General Order number,accredited to,awarded.date.day,awarded.date.month,awarded.date.year,birth.date.day,birth.date.month,birth.date.year,citation,company,death,division,entered service at,full,issued,latitude,link,location name,location.name,longitude,name,organization,rank
20,,26,4,1951,9,5,1923,"Sfc. Duke, a member of Company C, distinguished himself by conspicuous gallantry and outstanding courage above and beyond the call of duty in action against the enemy. Upon learning that several of his men were isolated and heavily engaged in an area yielded by his platoon when ordered to withdraw, he led a small force in a daring assault which recovered the position and the beleaguered men. Another enemy attack in strength resulted in numerous casualties but Sfc. Duke, although wounded by mortar fragments, calmly moved along his platoon line to coordinate fields of fire and to urge his men to hold firm in the bitter encounter. Wounded a second time he received first aid and returned to his position. When the enemy again attacked shortly after dawn, despite his wounds, Sfc. Duke repeatedly braved withering fire to insure maximum defense of each position. Threatened with annihilation and with mounting casualties, the platoon was again ordered to withdraw when Sfc. Duke was wounded a third time in both legs and was unable to walk. Realizing that he was impeding the progress of 2 comrades who were carrying him from the hill, he urged them to leave him and seek safety. He was last seen pouring devastating fire into the ranks of the onrushing assailants. The consummate courage, superb leadership, and heroic actions of Sfc. Duke, displayed during intensive action against overwhelming odds, reflect the highest credit upon himself, the infantry, and the U.S. Army.",Company C,True,"21st Infantry Regiment, 24th Infantry Division","Whitwell (Marion County), Tenn.",1951-4-26,03/19/1954,36,http://www.cmohs.org/recipient-detail/3110/duke-ray-e.php," Whitwell, Tenn.","?????, Gongseong-myeon, Sangju-si",128,"Duke, Ray E.",U.S. Army,Sergeant First Class
182,New Jersey,-1,-1,-1,3,10,1873,"On board the U.S.S. Iowa, 25 January 1905. Following the blowing out of the manhole plate of boiler D of that vessel, Behne displayed extraordinary heroism in the resulting action.",,True,,,-1--1--1,03/20/1905,-1,http://www.cmohs.org/recipient-detail/2347/behne-frederick.php," Lodi, N.J.",,-1,"Behne, Frederick",U.S. Navy,Fireman First Class
182,"Washington, D.C.",-1,-1,-1,10,4,1882,"While serving aboard the U.S.S. Iowa, Behnke displayed extraordinary heroism at the time of the blowing out of the manhole plate of boiler D on board that vessel, 25 January 1905.",,True,,,-1--1--1,03/20/1905,-1,http://www.cmohs.org/recipient-detail/2348/behnke-heinrich.php, Germany,,-1,"Behnke, Heinrich",U.S. Navy,Seaman First Class
182,Vermont,-1,-1,-1,1,5,1872,"Serving on board the U.S.S. Iowa for extraordinary heroism at the time of the blowing out of the manhole plate of boiler D on board that vessel, 25 January 1905.",,True,,,-1--1--1,03/20/1905,-1,http://www.cmohs.org/recipient-detail/2353/bresnahan-patrick-francis.php," Peabody, Mass.",,-1,"Bresnahan, Patrick Francis",U.S. Navy,Watertender
182,,25,1,1905,3,1,1880,"Serving on board the U.S.S. Iowa for extraordinary heroism at the time of the blowing out of the manhole plate of boiler D on board that vessel, 25 January 1905.",,True,,New York,1905-1-25,03/20/1905,41,http://www.cmohs.org/recipient-detail/2358/corahorgi-demetri.php," Trieste, Austria","Study Abroad Program, The University of Iowa, Old Capitol Town Center, Iowa City, IA 52240, USA",-91,"Corahorgi, Demetri",U.S. Navy,Fireman First Class
182,South Carolina,-1,-1,-1,21,2,1850,"Serving on board the U.S.S. Iowa, for extraordinary heroism at the time of the blowing out of the manhole plate of boiler D on board that vessel, 25 January 1905.",,True,,,-1--1--1,03/20/1905,-1,http://www.cmohs.org/recipient-detail/2363/floyd-edward.php, Ireland,,-1,"Floyd, Edward",U.S. Navy,Boilermaker
182,,-1,-1,-1,13,5,1872,"Serving on board the U.S.S. Iowa, for extraordinary heroism at the time of the blowing out of the manhole plate of boiler D on board that vessel, 25 January 1905.",,True,,"Yokohama, Japan",-1--1--1,03/20/1905,-1,http://www.cmohs.org/recipient-detail/2372/johannessen-johannes-j.php," Bodo, Norway",,-1,"Johannessen, Johannes J.",U.S. Navy,Chief Watertender
3,,-1,-1,-1,27,3,1844,"For his life of splendid public service, begun on 27 March 1844, having enlisted as a private in the U.S. Army on 26 July 1861, and by successive promotions was commissioned as major general 10 February 1906, and retired by operation of law on his 64th birthday.",,True,,Louisiana,-1--1--1,03/21/1935,-1,http://www.cmohs.org/recipient-detail/2486/greely-adolphus-w.php," Newburyport, Mass.",,-1,"Greely, Adolphus W.",U.S. Army,Major General
84,New York,-1,-1,-1,29,8,1876,"In action against the enemy at Tientsin, China, 20 June 1900. Crossing the river in a small boat while under heavy enemy fire, Appleton assisted in destroying buildings occupied by the enemy.",,True,,,-1--1--1,03/22/1902,39,http://www.cmohs.org/recipient-detail/2291/appleton-edwin-nelson.php," Brooklyn, N.Y.","Tianjin, Tianjin, China",117,"Appleton, Edwin Nelson",U.S. Marine Corps,Corporal
84,California,-1,-1,-1,14,1,1870,"In action against the enemy at Tientsin, China, 20 June 1900. Crossing the river in a small boat with 3 other men while under a heavy fire from the enemy, Burnes assisted in destroying buildings occupied by hostile forces.",,True,,,-1--1--1,03/22/1902,39,http://www.cmohs.org/recipient-detail/2294/burnes-james.php," Worcester, Mass.","Tianjin, Tianjin, China",117,"Burnes, James",U.S. Marine Corps,Private
85,New York,-1,-1,-1,13,4,1870,"On board the U.S.S. Petrel for heroism and gallantry, fearlessly exposing his own life to danger in saving others on the occasion of the flre on board that vessel, 31 March 1901.",,True,,,-1--1--1,03/22/1902,-1,http://www.cmohs.org/recipient-detail/2355/cahey-thomas.php," Bellfast, Ireland",,-1,"Cahey, Thomas",U.S. Navy,Seaman
85,Pennsylvania,-1,-1,-1,21,1,1868,"Serving on board the U.S.S. Petrel, for heroism and gallantry, fearlessly exposing his own life to danger for the saving of others, on the occasion of the fire on board that vessel, 31 March 1901.",,True,,,-1--1--1,03/22/1902,-1,http://www.cmohs.org/recipient-detail/2365/girandy-alphonse.php," Guadaloupe, West Indies",,-1,"Girandy, Alphonse",U.S. Navy,Seaman
84,California,-1,-1,-1,10,6,1872,"In action against the enemy at Tientsin, China, 20 June 1900. Crossing the river in a small boat while under heavy fire, Heisch assisted in destroying buildings occupied by the enemy.",,True,,,-1--1--1,03/22/1902,39,http://www.cmohs.org/recipient-detail/2309/heisch-henry-william.php," Latendorf, Germany","Tianjin, Tianjin, China",117,"Heisch, Henry William",U.S. Marine Corps,Private
84,California,-1,-1,-1,23,1,1869,"In action against the enemy at Tientsin, China, 20 June 1900. Crossing the river in a small boat while under heavy enemy fire, McAllister assisted in destroying buildings occupied by the enemy.",,True,,,-1--1--1,03/22/1902,39,http://www.cmohs.org/recipient-detail/2317/mcallister-samuel.php," Belfast, Ireland","Tianjin, Tianjin, China",117,"Mcallister, Samuel",U.S. Navy,Ordinary Seaman
85,New Jersey,-1,-1,-1,19,6,1876,"Serving on board the U.S.S. Petrel; for heroism and gallantry, fearlessly exposing his own life to danger for the saving of the others on the occasion of the fire on board that vessel, 31 March 1901.",,True,,,-1--1--1,03/22/1902,-1,http://www.cmohs.org/recipient-detail/2380/pfeifer-louis-fred.php," Philadelphia, Pa.",,-1,"Pfeifer, Louis Fred",U.S. Marine Corps,Private
59,Kentucky,-1,-1,-1,6,5,1883,"On board the U.S.S. Hopkins for extraordinary heroism in the line of his profession on the occasion of the accident to one of the boilers of that vessel, 14 February 1910.",,True,,,-1--1--1,03/23/1910,-1,http://www.cmohs.org/recipient-detail/2356/clary-edward-alvin.php," Foxport, Ky.",,-1,"Clary, Edward Alvin",U.S. Navy,Watertender
23,,10,11,1943,29,6,1919,"For conspicuous gallantry and intrepidity at the risk of his life above and beyond the call of duty. Disdaining enemy hand grenades and close-range machine pistol, machinegun, and rifle, Lt. Britt inspired and led a handful of his men in repelling a bitter counterattack by approximately 100 Germans against his company positions north of Mignano, Italy, the morning of 10 November 1943. During the intense fire fight, Lt. Britt's canteen and field glasses were shattered; a bullet pierced his side; his chest, face, and hands were covered with grenade wounds. Despite his wounds, for which he refused to accept medical attention until ordered to do so by his battalion commander following the battle, he personally killed 5 and wounded an unknown number of Germans, wiped out one enemy machinegun crew, fired 5 clips of carbine and an undetermined amount of Ml rifle ammunition, and threw 32 fragmentation grenades. His bold, aggressive actions, utterly disregarding superior enemy numbers, resulted in capture of 4 Germans, 2 of them wounded, and enabled several captured Americans to escape. Lt. Britt's undaunted courage and prowess in arms were largely responsible for repulsing a German counterattack which, if successful, would have isolated his battalion and destroyed his company.",,True,3d Infantry Division,"Lonoke, Ark.",1943-11-10,03/24/1944,45,http://www.cmohs.org/recipient-detail/2653/britt-maurice-l.php," Carlisle, Ark.","36020 Mignano VI, Italy",11,"Britt, Maurice L.",U.S. Army,Captain
23,,2,11,1943,28,9,1917,"For conspicuous gallantry and intrepidity above and beyond the call of duty in action with the enemy near Rabaul, New Britain, on 2 November 1943. Leading his squadron in an attack on shipping in Simpson Harbor, during which intense antiaircraft fire was expected, Maj. Wilkins briefed his squadron so that his airplane would be in the position of greatest risk. His squadron was the last of 3 in the group to enter the target area. Smoke from bombs dropped by preceding aircraft necessitated a last-second revision of tactics on his part, which still enabled his squadron to strike vital shipping targets, but forced it to approach through concentrated fire, and increased the danger of Maj. Wilkins' left flank position. His airplane was hit almost immediately, the right wing damaged, and control rendered extremely difficult. Although he could have withdrawn, he held fast and led his squadron into the attack. He strafed a group of small harbor vessels, and then, at low level, attacked an enemy destroyer. His 1,000 pound bomb struck squarely amidships, causing the vessel to explode. Although antiaircraft fire from this vessel had seriously damaged his left vertical stabilizer, he refused to deviate from the course. From below-masthead height he attacked a transport of some 9,000 tons, scoring a hit which engulfed the ship in flames. Bombs expended, he began to withdraw his squadron. A heavy cruiser barred the path. Unhesitatingly, to neutralize the cruiser s guns and attract its fire, he went in for a strafing run. His damaged stabilizer was completely shot off. To avoid swerving into his wing planes he had to turn so as to expose the belly and full wing surfaces of his plane to the enemy fire; it caught and crumpled his left wing. Now past control, the bomber crashed into the sea. In the fierce engagement Maj. Wilkins destroyed 2 enemy vessels, and his heroic self-sacrifice made possible the safe withdrawal of the remaining planes of his squadron.",,True,Air Corps,"Portsmouth, Va.",1943-11-2,03/24/1944,-4,http://www.cmohs.org/recipient-detail/3064/wilkins-raymond-h.php," Portsmouth, Va.","Rabaul, Papua New Guinea",152,"Wilkins, Raymond H.",U.S. Army,Major
-1,,-1,-1,-1,17,7,1843,"Rank and organization: Private, Company K, 33d Ohio Infantry. Place and date: Georgia, April 1862. Entered service at: Hardin County, Ohio. Birth: 17 July 1843, Fairfield County, Ohio. Date of issue: 25 March 1863. Citation: One of the 19 of 22 men (including 2 civilians) who, by direction of Gen. Mitchell (or Buell) penetrated nearly 200 miles south into enemy territory and captured a railroad train at Big Shanty, Ga., in an attempt to destroy the bridges and tracks between Chattanooga and Atlanta.",Company K,True,33d Ohio Infantry,"Hardin County, Ohio",-1--1--1,03/25/1863,32,http://www.cmohs.org/recipient-detail/2854/parrott-jacob.php," Fairfield County, Ohio","Georgia, USA",-82,"Parrott, Jacob",U.S. Army,Private
24,,28,4,1943,-1,-1,-1,"For distinguishing himself conspicuously by gallantry and intrepidity at the loss of his life above and beyond the call of duty in action with the enemy on 28 April 1943, in the vicinity of MedjezelBab, Tunisia. When the advance of the assault elements of Company A was held up by flanking fire from an enemy machinegun nest, Pvt. Minue voluntarily, alone, and unhesitatingly, with complete disregard of his own welfare, charged the enemy entrenched position with fixed bayonet. Pvt. Minue assaulted the enemy under a withering machinegun and rifle fire, killing approximately 10 enemy machinegunners and riflemen. After completely destroying this position, Pvt. Minue continued forward, routing enemy riflemen from dugout positions until he was fatally wounded. The courage, fearlessness and aggressiveness displayed by Pvt. Minue in the face of inevitable death was unquestionably the factor that gave his company the offensive spirit that was necessary for advancing and driving the enemy from the entire sector.",Company A,True,"6th Armored Infantry, 1st Armored Division","Carteret, N.J.",1943-4-28,03/25/1944,36,http://www.cmohs.org/recipient-detail/2895/minue-nicholas.php,"Sedden, Poland","Medjez el Bab, Tunisia",9,"Minue, Nicholas",U.S. Army,Private
-1,,2,3,1865,-1,-1,-1,Capture of unknown Confederate flag.,Company K,True,1st New York (Lincoln) Cavalry,,1865-3-2,03/26/1865,38,http://www.cmohs.org/recipient-detail/26/anderson-charles-w.php,"New Orleans, La.","Waynesboro, VA, USA",-78,"Anderson, Charles W.",U.S. Army,Private
28,,5,6,1945,-1,-1,-1,"He displayed conspicuous gallantry and intrepidity. In a fierce counterattack, the Japanese closed in on his machinegun emplacement, hurling hand grenades, 1 of which exploded under the gun, putting it out of action and wounding 2 of the crew. While the remaining gunners were desperately attempting to repair their weapon another grenade landed squarely in the emplacement. Quickly realizing he could not safely throw the unexploded missile from the crowded position, Cpl. Harr unhesitatingly covered it with his body to smother the blast. His supremely courageous act, which cost him his life, saved 4 of his comrades and enabled them to continue their mission.",Company D,True,"124th Infantry, 31st Infantry Division","East Freedom, Pa.",1945-6-5,03/28/1946,7,http://www.cmohs.org/recipient-detail/2777/harr-harry-r.php,"Pine Croft, Pa.","Central Bank of the Philippines, Poblacion District, Davao City, Davao del Sur, Philippines",125,"Harr, Harry R.",U.S. Army,Corporal
-1,,2,7,1863,-1,-1,-1,"When his regiment was falling back, this soldier, bearing the national color, returned in the face of the enemy's fire, pulled the regimental flag from under the body of its bearer, who had fallen, saved the flag from capture, and brought both colors off the field.",Company B,True,1st Massachusetts Infantry,"Boston, Mass.",1863-7-2,03/29/1899,39,http://www.cmohs.org/recipient-detail/22/allen-nathaniel-m.php,"Boston, Mass.","Gettysburg, PA 17325, USA",-77,"Allen, Nathaniel M.",U.S. Army,Corporal
20,,23,7,1944,6,2,1922,"For conspicuous gallantry and intrepidity at the risk of his life above and beyond the call of duty at Noemfoor Island, Dutch New Guinea, 23 July 1944. While moving to the relief of a platoon isolated by the enemy, his company encountered a strong enemy position supported by machinegun, rifle, and mortar fire. Sgt. Eubanks was ordered to make an attack with 1 squad to neutralize the enemy by fire in order to assist the advance of his company. He maneuvered his squad to within 30 yards of the enemy where heavy fire checked his advance. Directing his men to maintain their fire, he and 2 scouts worked their way forward up a shallow depression to within 25 yards of the enemy. Directing the scouts to remain in place, Sgt. Eubanks armed himself with an automatic rifle and worked himself forward over terrain swept by intense fire to within 15 yards of the enemy position when he opened fire with telling effect. The enemy, having located his position, concentrated their fire with the result that he was wounded and a bullet rendered his rifle useless. In spite of his painful wounds he immediately charged the enemy and using his weapon as a club killed 4 of the enemy before he was himself again hit and killed. Sgt. Eubanks' heroic action, courage, and example in leadership so inspired his men that their advance was successful. They killed 45 of the enemy and drove the remainder from the position, thus effecting the relief of our beleaguered troops.",Company D,True,503d Parachute Infantry,,1944-7-23,03/29/1945,0,http://www.cmohs.org/recipient-detail/2729/eubanks-ray-e.php," Snow Hill, N.C.","Numfoor Island, Indonesia",134,"Eubanks, Ray E.",U.S. Army,Sergeant
20,,25,8,1944,26,2,1918,"For conspicuous gallantry and intrepidity at the risk of his life above and beyond the call of duty. On 25 August 1944, in the vicinity of Montereau, France, the enemy was sharply contesting any enlargement of the bridgehead which our forces had established on the northern bank of the Seine River in this sector. Casualties were being evacuated to the southern shore in assault boats paddled by litter bearers from a medical battalion. Pvt. Garman, also a litter bearer in this battalion, was working on the friendly shore carrying the wounded from the boats to waiting ambulances. As 1 boatload of wounded reached midstream, a German machinegun suddenly opened fire upon it from a commanding position on the northern bank 100 yards away. All of the men in the boat immediately took to the water except 1 man who was so badly wounded he could not rise from his litter. Two other patients who were unable to swim because of their wounds clung to the sides of the boat. Seeing the extreme danger of these patients, Pvt. Garman without a moment's hesitation plunged into the Seine. Swimming directly into a hail of machinegun bullets, he rapidly reached the assault boat and then while still under accurately aimed fire towed the boat with great effort to the southern shore. This soldier's moving heroism not only saved the lives of the three patients but so inspired his comrades that additional assault boats were immediately procured and the evacuation of the wounded resumed. Pvt. Garman's great courage and his heroic devotion to the highest tenets of the Medical Corps may be written with great pride in the annals of the corps.",Company B,True,"5th Medical Battalion, 5th Infantry Division","Albion, Ill.",1944-8-25,03/29/1945,48,http://www.cmohs.org/recipient-detail/2752/garman-harold-a.php," Fairfield, Ill.","77130 Montereau, France",2,"Garman, Harold A.",U.S. Army,Private
20,,14,9,1944,-1,-1,-1,"For conspicuous gallantry and intrepidity at risk of life above and beyond the call of duty, in action on the western ridge of Mount Altuzzo, Italy. After bitter fighting his company had advanced to within 50 yards of the objective, where it was held up due to intense enemy sniper, automatic, small arms, and mortar fire. The enemy launched 3 desperate counterattacks in an effort to regain their former positions, but all 3 were repulsed with heavy casualties on both sides. All officers and noncommissioned officers of the 2d and 3d platoons of Company B had become casualties, and S/Sgt. Keathley, guide of the 1st platoon, moved up and assumed command of both the 2d and 3d platoons, reduced to 20 men. The remnants of the 2 platoons were dangerously low on ammunition, so S/Sgt. Keathley, under deadly small arms and mortar fire, crawled from 1 casualty to another, collecting their ammunition and administering first aid. He then visited each man of his 2 platoons, issuing the precious ammunition he had collected from the dead and wounded, and giving them words of encouragement. The enemy now delivered their fourth counterattack, which was approximately 2 companies in strength. In a furious charge they attacked from the front and both flanks, throwing hand grenades, firing automatic weapons, and assisted by a terrific mortar barrage. So strong was the enemy counterattack that the company was given up for lost. The remnants of the 2d and 3d platoons of Company B were now looking to S/Sgt. Keathley for leadership. He shouted his orders precisely and with determination and the men responded with all that was in them. Time after time the enemy tried to drive a wedge into S/Sgt. Keathley's position and each time they were driven back, suffering huge casualties. Suddenly an enemy hand grenade hit and exploded near S/Sgt. Keathley, inflicting a mortal wound in his left side. However, hurling defiance at the enemy, he rose to his feet. Taking his left hand away from his wound and using it to steady his rifle, he fired and killed an attacking enemy soldier, and continued shouting orders to his men. His heroic and intrepid action so inspired his men that they fought with incomparable determination and viciousness. For 15 minutes S/Sgt. Keathley continued leading his men and effectively firing his rifle. He could have sought a sheltered spot and perhaps saved his life, but instead he elected to set an example for his men and make every possible effort to hold his position. Finally, friendly artillery fire helped to force the enemy to withdraw, leaving behind many of their number either dead or seriously wounded. S/Sgt. Keathley died a few moments later. Had it not been for his indomitable courage and incomparable heroism, the remnants of 3 rifle platoons of Company B might well have been annihilated by the overwhelming enemy attacking force. His actions were in keeping with the highest traditions of the military service.",,True,85th Infantry Division,"Lamesa, Tex.",1944-9-14,03/29/1945,41,http://www.cmohs.org/recipient-detail/2815/keathley-george-d.php,"Olney, Tex.",Italy,12,"Keathley, George D.",U.S. Army,Staff Sergeant
20,,6,6,1944,1,7,1917,"For conspicuous gallantry and intrepidity above and beyond the call of duty on 6 June 1944, near Colleville-sur-Mer, France. 1st Lt. Monteith landed with the initial assault waves on the coast of France under heavy enemy fire. Without regard to his own personal safety he continually moved up and down the beach reorganizing men for further assault. He then led the assault over a narrow protective ledge and across the flat, exposed terrain to the comparative safety of a cliff. Retracing his steps across the field to the beach, he moved over to where 2 tanks were buttoned up and blind under violent enemy artillery and machinegun fire. Completely exposed to the intense fire, 1st Lt. Monteith led the tanks on foot through a minefield and into firing positions. Under his direction several enemy positions were destroyed. He then rejoined his company and under his leadership his men captured an advantageous position on the hill. Supervising the defense of his newly won position against repeated vicious counterattacks, he continued to ignore his own personal safety, repeatedly crossing the 200 or 300 yards of open terrain under heavy fire to strengthen links in his defensive chain. When the enemy succeeded in completely surrounding 1st Lt. Monteith and his unit and while leading the fight out of the situation, 1st Lt. Monteith was killed by enemy fire. The courage, gallantry, and intrepid leadership displayed by 1st Lt. Monteith is worthy of emulation.",,True,"16th Infantry, 1st Infantry Division","Richmond, Va.",1944-6-6,03/29/1945,49,http://www.cmohs.org/recipient-detail/2896/monteith-jimmie-w-jr.php," Low Moor, Va.","Colleville-sur-Mer, France",0,"Monteith, Jimmie W., Jr.",U.S. Army,First Lieutenant
20,,12,9,1944,-1,-1,-1,"For conspicuous gallantry and intrepidity at risk of life above and beyond the call of duty on 12 September 1944, in an attack on Saulx de Vesoul, France 1st Lt. Tominac charged alone over 50 yards of exposed terrain onto an enemy roadblock to dispatch a 3-man crew of German machine gunners with a single burst from his Thompson machinegun after smashing the enemy outpost, he led 1 of his squads in the annihilation of a second hostile group defended by mortar, machinegun automatic pistol, rifle and grenade fire, killing about 30 of the enemy. Reaching the suburbs of the town, he advanced 50 yards ahead of his men to reconnoiter a third enemy position which commanded the road with a 77-mm. SP gun supported by infantry elements. The SP gun opened fire on his supporting tank, setting it afire with a direct hit. A fragment from the same shell painfully wounded 1st Lt. Tominac in the shoulder, knocking him to the ground. As the crew abandoned the M-4 tank, which was rolling down hill toward the enemy, 1st Lt. Tominac picked himself up and jumped onto the hull of the burning vehicle. Despite withering enemy machinegun, mortar, pistol, and sniper fire, which was ricocheting off the hull and turret of the M-4, 1st Lt. Tominac climbed to the turret and gripped the 50-caliber antiaircraft machinegun. Plainly silhouetted against the sky, painfully wounded, and with the tank burning beneath his feet, he directed bursts of machinegun fire on the roadblock, the SP gun, and the supporting German infantrymen, and forced the enemy to withdraw from his prepared position. Jumping off the tank before it exploded, 1st Lt. Tominac refused evacuation despite his painful wound. Calling upon a sergeant to extract the shell fragments from his shoulder with a pocketknife, he continued to direct the assault, led his squad in a hand grenade attack against a fortified position occupied by 32 of the enemy armed with machineguns, machine pistols, and rifles, and compelled them to surrender. His outstanding heroism and exemplary leadership resulted in the destruction of 4 successive enemy defensive positions, surrender of a vital sector of the city Saulx de Vesoul, and the death or capture of at least 60 of the enemy.",Company I,True,"15th Infantry, 3d Infantry Division","Conemaugh, Pa.",1944-9-12,03/29/1945,47,http://www.cmohs.org/recipient-detail/3025/tominac-john-j.php,"Conemaugh, Pa.","Vie de Saulx, 70000 Montcey, France",6,"Tominac, John J.",U.S. Army,First Lieutenant
-1,,28,3,1953,31,12,1931,"For conspicuous gallantry and intrepidity at the risk of his life above and beyond the call of duty while serving as a squad leader of Company F, in action against enemy aggressor forces. Participating in a counterattack against a firmly entrenched and well-concealed hostile force which had repelled 6 previous assaults on a vital enemy-held outpost far forward of the main line of resistance Sgt. Matthews fearlessly advanced in the attack until his squad was pinned down by a murderous sweep of fire from an enemy machine gun located on the peak of the outpost. Observing that the deadly fire prevented a corpsman from removing a wounded man lying in an open area fully exposed to the brunt of the devastating gunfire, he worked his way to the base of the hostile machine gun emplacement, leaped onto the rock fortification surrounding the gun and, taking the enemy by complete surprise, single-handedly charged the hostile emplacement with his rifle. Although severely wounded when the enemy brought a withering hail of fire to bear upon him, he gallantly continued his valiant l-man assault and, firing his rifle with deadly effectiveness, succeeded in killing 2 of the enemy, routing a third, and completely silencing the enemy weapon, thereby enabling his comrades to evacuate the stricken marine to a safe position. Succumbing to his wounds before aid could reach him, Sgt. Matthews, by his indomitable fighting spirit, courageous initiative, and resolute determination in the face of almost certain death, served to inspire all who observed him and was directly instrumental in saving the life of his wounded comrade. His great personal valor reflects the highest credit upon himself and enhances the finest traditions of the U.S. Naval Service. He gallantly gave his life for his country.","Company F, 2d Battalion",True,"7th Marines, 1st Marine Division","Van Nuys, Calif.",1953-3-28,03/29/1954,36,http://www.cmohs.org/recipient-detail/3153/matthews-daniel-p.php," Van Nuys, Calif.","Korea Court, Henderson, NV 89052, USA",-115,"Matthews, Daniel P.",U.S. Marine Corps,Sergeant
-1,,2,4,1865,-1,-1,-1,"Obtained permission from the corps commander to advance upon the enemy's position with the 4th U.S. Cavalry, of which he was a lieutenant; led an attack upon a battery, dispersed the enemy, and captured the guns. At Selma, Ala., charged, at the head of his regiment, into the second and last line of the enemy's works.",,True,"Cavalry Corps, Army of the Mississippi","Wilkes Barre, Pa.",1865-4-2,03/30/1898,32,http://www.cmohs.org/recipient-detail/77/beaumont-eugene-b.php,"Luzerne County, Pa.","Selma, AL, USA",-87,"Beaumont, Eugene B.",U.S. Army,Major/Ass. Adjutant General
142,Philippine Islands,-1,-1,-1,25,11,1890,"For extraordinary heroism in the line of his profession at the time of the boiler explosion on board the U.S.S. San Diego, 21 January 1915. Trinidad was driven out of fireroom No. 2 by the explosion, but at once returned and picked up R.E. Daly, fireman, second class, whom he saw to be injured, and proceeded to bring him out. While coming into No. 4 fireroom, Trinidad was just in time to catch the explosion in No. 3 fireroom, but without consideration for his own safety, passed Daly on and then assisted in rescuing another injured man from No. 3 fireroom. Trinidad was himself burned about the face by the blast from the explosion in No. 3 fireroom.",,True,,,-1--1--1,04/01/1915,-1,http://www.cmohs.org/recipient-detail/2467/trinidad-telesforo.php," New Washington Capig, Philippine Islands",,-1,"Trinidad, Telesforo",U.S. Navy,Fireman Second Class
16,,-1,-1,-1,-1,-1,-1,"For conspicuous leadership in preparing the Philippine Islands to resist conquest, for gallantry and intrepidity above and beyond the call of duty in action against invading Japanese forces, and for the heroic conduct of defensive and offensive operations on the Bataan Peninsula. He mobilized, trained, and led an army which has received world acclaim for its gallant defense against a tremendous superiority of enemy forces in men and arms. His utter disregard of personal danger under heavy fire and aerial bombardment, his calm judgment in each crisis, inspired his troops, galvanized the spirit of resistance of the Filipino people, and confirmed the faith of the American people in their Armed Forces.",,True,,"Ashland, Wis.",-1--1--1,04/01/1942,14,http://www.cmohs.org/recipient-detail/2856/macarthur-douglas.php,"Little Rock, Ark.","Bataan Peninsula, Bataan Natural Park, Lalawigan ng Bataan, Philippines",120,"Macarthur, Douglas",U.S. Army,General
30,,7,2,1945,-1,-1,-1,"He displayed conspicuous gallantry and intrepidity. His platoon and 1 other from Company G were pinned down in a roadside ditch by heavy fire from 5 Japanese tanks supported by 10 machineguns and a platoon of riflemen. When 1 of his men fell wounded 40 yards away, he unhesitatingly crossed the road under a hail of bullets and moved the man 75 yards to safety. Although he had suffered a deep arm wound, he returned to his post. Finding the platoon leader seriously wounded, he assumed command and rallied his men. Once more he braved the enemy fire to go to the aid of a litter party removing another wounded soldier. A shell exploded in their midst, wounding him in the shoulder and killing 2 of the party. He picked up the remaining man, carried him to cover, and then moved out in front deliberately to draw the enemy fire while the American forces, thus protected, withdrew to safety. When the last man had gained the new position, he rejoined his command and there collapsed from loss of blood and exhaustion. M/Sgt. McGaha set an example of courage and leadership in keeping with the highest traditions of the service.",Company G,True,"35th Infantry, 25th Infantry Division","Cosby, Tenn.",1945-2-7,04/02/1946,15,http://www.cmohs.org/recipient-detail/2875/mcgaha-charles-l.php,"Cosby, Tenn.","Lupao, Nueva Ecija, Philippines",120,"Mcgaha, Charles L.",U.S. Army,Master Sergeant
11,Ohio,-1,-1,-1,-1,-1,-1,"On board the U.S.S. Hunchback in the attack on Franklin, Va., 3 October 1862. When an ignited shell, with cartridge attached, fell out of the howitzer upon the deck, S/man Barton promptly seized a pail of water and threw it upon the missile, thereby preventing it from exploding.",,True,,,-1--1--1,04/03/1863,36,http://www.cmohs.org/recipient-detail/67/barton-thomas.php,"1831, Cleveland, Ohio","Franklin, VA, USA",-76,"Barton, Thomas",U.S. Navy,Seaman
