3 judge dc?,admin action.id,admin action.state,agency,area,authority 1,authority 2,case,case issues,case.disposition,chief,date argued.day,date argued.full,date argued.month,date argued.year,date reargued.day,date reargued.full,date reargued.month,date reargued.year,date.day,date.full,date.month,date.year,decision.direction,decision.type,disagreement?,disposition,dissent agrees,docket,end.day,end.full,end.month,end.year,id.docket,issue.id,jurisdiction,laws.id,laws.type,led,lexis,lower court.direction,majority,majority assigner.id,majority assigner.long name,majority assigner.name,majority writer.id,majority writer.long name,majority writer.name,minority,name,natural court.id,origin.id,origin.name,origin.state,period,petitioner.entity,petitioner.id,petitioner.state,precedent altered?,reasons,respondent.entity,respondent.id,respondent.state,sct,source.id,source.name,source.state,split on second,start.day,start.full,start.month,start.year,term,text,unclear,unconstitutional,unusual,us,vote,winning party
False,-1,,unknown,Unions,statutory construction,,1946-052,1946-052-01-01,affirmed (includes modified),Vinson,17,1/17/1947,1,1947,17,1/17/1947,1,1947,17,2/17/1947,2,1947,conservative,court opinion,True,affirmed,False,335,23,August/23/1949,8,1949,1946-052-01,70040,cert,3,Federal Statute,91 L. Ed. 816,1947 U.S. LEXIS 2958,conservative,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,0,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. NASHVILLE, CHATTANOOGA & ST. LOUIS RAILWAY",1301,117,Tennessee Middle U.S. District Court,,1,Department or Secretary of Labor,371,,False,to resolve important or significant question,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",151,,67 S. Ct. 644,26,"U.S. Court of Appeals, Sixth Circuit",,False,24,June/24/1946,6,1946,1946,Fair Labor Standards Act,False,no unconstitutionality,False,330 U.S. 158,1946-052-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Criminal Procedure,judicial review (national level),,1946-053,1946-053-01-01,affirmed and reversed (or vacated) in part,Vinson,7,1/7/1947,1,1947,7,1/7/1947,1,1947,17,2/17/1947,2,1947,conservative,court opinion,False,affirmed and reversed (or vacated) in part,False,190,23,August/23/1949,8,1949,1946-053-01,10170,cert,2,Constitutional Amendment,91 L. Ed. 818,1947 U.S. LEXIS 2647,conservative,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,0,BOZZA v. UNITED STATES,1301,92,New Jersey U.S. District Court,,1,"person accused, indicted, or suspected of crime",100,,False,no reason given,United States,27,,67 S. Ct. 645,23,"U.S. Court of Appeals, Third Circuit",,False,24,June/24/1946,6,1946,1946,double jeopardy,False,no unconstitutionality,False,330 U.S. 160,1946-053-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Civil Rights,statutory construction,,1946-054,1946-054-01-01,affirmed (includes modified),Vinson,14,1/14/1947,1,1947,14,1/14/1947,1,1947,17,2/17/1947,2,1947,conservative,court opinion,False,unknown,False,141,23,August/23/1949,8,1949,1946-054-01,20150,cert,5,Other,91 L. Ed. 823,1947 U.S. LEXIS 2648,conservative,6,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,3,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1301,3,"U.S. Court of Claims, Court of Federal Claims",,1,"Indian, including Indian tribe or nation",170,,False,no reason given,United States,27,,67 S. Ct. 650,3,"U.S. Court of Claims, Court of Federal Claims",,False,24,June/24/1946,6,1946,1946,Indians (other than pertains to state jurisdiction over),False,no unconstitutionality,False,330 U.S. 169,1946-054-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Judicial Power,federal common law,,1946-055,1946-055-01-01,reversed,Vinson,5,3/5/1946,3,1946,18,11/18/1946,11,1946,17,2/17/1947,2,1947,conservative,court opinion,False,affirmed,False,31,23,August/23/1949,8,1949,1946-055-01,90460,cert,5,Other,91 L. Ed. 832,1947 U.S. LEXIS 2649,liberal,6,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,80,"Frankfurter, Felix ( 01/30/1939 - 08/28/1962 )",FFrankfurter,3,ANGEL v. BULLINGTON,1301,100,North Carolina Western U.S. District Court,,1,"buyer, purchaser",123,,True,to resolve important or significant question,seller or vendor,233,,67 S. Ct. 657,24,"U.S. Court of Appeals, Fourth Circuit",,False,24,June/24/1946,6,1946,1946,judicial administration: collateral estoppel or res judicata ,False,no unconstitutionality,False,330 U.S. 183,1946-055-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Judicial Power,statutory construction,,1946-056,1946-056-01-01,reversed,Vinson,3,2/3/1947,2,1947,3,2/3/1947,2,1947,3,3/3/1947,3,1947,conservative,court opinion,False,reversed,False,184,23,August/23/1949,8,1949,1946-056-01,90330,cert,4,Court Rules,91 L. Ed. 849,1947 U.S. LEXIS 2582,liberal,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,0,CONE v. WEST VIRGINIA PULP & PAPER CO.,1301,114,South Carolina U.S. District Court,,1,"owner, landlord, or claimant to ownership, fee interest, or possession of land as well as chattels",195,,False,to resolve question presented,"forest products, lumber, or logging company",243,,67 S. Ct. 752,24,"U.S. Court of Appeals, Fourth Circuit",,False,24,June/24/1946,6,1946,1946,judicial administration: jurisdiction or authority of federal courts of appeals ,False,no unconstitutionality,False,330 U.S. 212,1946-056-01-01-01,favorable disposition for petitioning party
False,82,,National Labor Relations Board,Unions,interpretation of administrative regulation or rule,judicial review (national level),1946-057,1946-057-01-01,reversed and remanded,Vinson,16,10/16/1946,10,1946,16,10/16/1946,10,1946,3,3/3/1947,3,1947,liberal,court opinion,True,petition denied or appeal dismissed,False,38,23,August/23/1949,8,1949,1946-057-01,70070,cert,2,Constitutional Amendment,91 L. Ed. 854,1947 U.S. LEXIS 2955,conservative,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,80,"Frankfurter, Felix ( 01/30/1939 - 08/28/1962 )",FFrankfurter,0,NATIONAL LABOR RELATIONS BOARD v. DONNELLY GARMENT CO. ET AL.,1301,28,"U.S. Court of Appeals, Eighth Circuit",,1,"National Labor Relations Board, or regional office or officer",382,,False,to resolve important or significant question,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",151,,67 S. Ct. 756,28,"U.S. Court of Appeals, Eighth Circuit",,False,24,June/24/1946,6,1946,1946,labor-management disputes: bargaining,False,no unconstitutionality,False,330 U.S. 219,1946-057-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Economic Activity,statutory construction,,1946-058,1946-058-01-01,affirmed (includes modified),Vinson,13,1/13/1947,1,1947,13,1/13/1947,1,1947,3,3/3/1947,3,1947,conservative,court opinion,False,affirmed,False,56,23,August/23/1949,8,1949,1946-058-01,80220,cert,6,Infrequently litigated statutes,91 L. Ed. 868,1947 U.S. LEXIS 2893,conservative,8,79,"Reed, Stanley ( 01/31/1938 - 02/25/1957 )",SFReed,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,1,"UNITED STATES v. POWELL ET AL., RECEIVERS",1301,126,Virginia Eastern U.S. District Court,,1,United States,27,,False,to resolve important or significant question,railroad,231,,67 S. Ct. 742,24,"U.S. Court of Appeals, Fourth Circuit",,False,24,June/24/1946,6,1946,1946,federal or state regulation of transportation regulation: railroad,False,no unconstitutionality,False,330 U.S. 238,1946-058-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Economic Activity,statutory construction,,1946-059,1946-059-01-01,affirmed (includes modified),Vinson,13,1/13/1947,1,1947,13,1/13/1947,1,1947,3,3/3/1947,3,1947,liberal,court opinion,False,affirmed,False,400,23,August/23/1949,8,1949,1946-059-01,80220,cert,6,Infrequently litigated statutes,91 L. Ed. 876,1947 U.S. LEXIS 2859,liberal,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,0,NORTHERN PACIFIC RAILWAY CO. v. UNITED STATES,1301,133,Wisconsin Western U.S. District Court,,1,railroad,231,,False,no reason given,United States,27,,67 S. Ct. 747,27,"U.S. Court of Appeals, Seventh Circuit",,False,24,June/24/1946,6,1946,1946,federal or state regulation of transportation regulation: railroad,False,no unconstitutionality,False,330 U.S. 248,1946-059-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Criminal Procedure,statutory construction,,1946-060,1946-060-01-01,affirmed (includes modified),Vinson,14,1/14/1947,1,1947,14,1/14/1947,1,1947,6,3/6/1947,3,1947,conservative,court opinion,False,unknown,False,759,23,August/23/1949,8,1949,1946-060-01,10080,cert,6,Infrequently litigated statutes,91 L. Ed. 884,1947 U.S. LEXIS 2954,liberal,5,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,4,UNITED STATES v. UNITED MINE WORKERS OF AMERICA,1301,55,District Of Columbia U.S. District Court,,1,United States,27,,False,other reason,"union, labor organization, or official of",249,,67 S. Ct. 677,32,"U.S. Court of Appeals, District of Columbia Circuit (includes the Court of Appeals for the District of Columbia but not the District of Columbia Court of Appeals, which has local jurisdiction)",,False,24,June/24/1946,6,1946,1946,contempt of court or congress,False,no unconstitutionality,True,330 U.S. 258,1946-060-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Federalism,judicial review (state level),,1946-061,1946-061-01-01,reversed and remanded,Vinson,14,2/14/1947,2,1947,14,2/14/1947,2,1947,10,3/10/1947,3,1947,liberal,court opinion,False,reversed and remanded,False,431,23,August/23/1949,8,1949,1946-061-01,100050,cert,1,Constitution,91 L. Ed. 967,1947 U.S. LEXIS 2950,conservative,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,0,TESTA ET AL. v. KATT,1301,302,State Trial Court,North Carolina,1,"buyer, purchaser",123,,False,federal court conflict and to resolve important or significant question,car dealer,125,,67 S. Ct. 810,301,State Appellate Court,California,False,24,June/24/1946,6,1946,1946,national supremacy: commodities ,False,no unconstitutionality,False,330 U.S. 386,1946-061-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Unions,statutory construction,,1946-062,1946-062-01-01,reversed and remanded,Vinson,8,3/8/1945,3,1945,15,10/15/1946,10,1946,10,3/10/1947,3,1947,conservative,court opinion,False,affirmed,False,6,23,August/23/1949,8,1949,1946-062-01,70020,cert,3,Federal Statute,91 L. Ed. 973,1947 U.S. LEXIS 2951,liberal,5,74,"Stone, Harlan ( 03/02/1925 - 04/22/1946 )",HFStone,79,"Reed, Stanley ( 01/31/1938 - 02/25/1957 )",SFReed,3,UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA v. UNITED STATES,1301,50,California Northern U.S. District Court,,1,"union, labor organization, or official of",249,,False,federal court conflict and to resolve important or significant question,United States,27,,67 S. Ct. 775,29,"U.S. Court of Appeals, Ninth Circuit",,False,24,June/24/1946,6,1946,1946,union antitrust: legality of anticompetitive union activity,False,no unconstitutionality,False,330 U.S. 395,1946-062-01-01-01,favorable disposition for petitioning party
False,117,Texas,State Agency,Economic Activity,judicial review (state level),,1946-063,1946-063-01-01,affirmed (includes modified),Vinson,1,3/1/1946,3,1946,12,11/12/1946,11,1946,10,3/10/1947,3,1947,conservative,court opinion,False,affirmed,False,29,23,August/23/1949,8,1949,1946-063-01,80100,cert,1,Constitution,91 L. Ed. 993,1947 U.S. LEXIS 2872,conservative,5,74,"Stone, Harlan ( 03/02/1925 - 04/22/1946 )",HFStone,79,"Reed, Stanley ( 01/31/1938 - 02/25/1957 )",SFReed,4,"JOSEPH, COMPTROLLER, et al. v. CARTER & WEEKES STEVEDORING CO.",1301,302,State Trial Court,North Carolina,1,"governmental official, or an official of an agency established under an interstate compact",19,New York,False,to resolve question presented,"state or local governmental taxpayer, or executor of the estate of",25,New York,67 S. Ct. 815,301,State Appellate Court,California,False,24,June/24/1946,6,1946,1946,state or local government tax ,False,municipal/local,False,330 U.S. 422,1946-063-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Economic Activity,statutory construction,,1946-064,1946-064-01-01,affirmed and reversed (or vacated) in part and remanded,Vinson,11,12/11/1946,12,1946,11,12/11/1946,12,1946,10,3/10/1947,3,1947,liberal,court opinion,False,affirmed,False,69,23,August/23/1949,8,1949,1946-064-01,80050,cert,6,Infrequently litigated statutes,91 L. Ed. 1011,1947 U.S. LEXIS 2873,liberal,7,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,79,"Reed, Stanley ( 01/31/1938 - 02/25/1957 )",SFReed,2,"AMERICAN STEVEDORES, INC. v. PORELLO ET AL.",1301,96,New York Southern U.S. District Court,,1,"water transportation, stevedore",116,,False,to resolve important or significant question,"employee, or job applicant, including beneficiaries of",145,,67 S. Ct. 847,22,"U.S. Court of Appeals, Second Circuit",,False,24,June/24/1946,6,1946,1946,election of remedies: legal remedies available to injured persons or things,False,no unconstitutionality,False,330 U.S. 446,1946-064-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Judicial Power,statutory construction,,1946-065,1946-065-01-01,reversed and remanded,Vinson,13,2/13/1947,2,1947,13,2/13/1947,2,1947,10,3/10/1947,3,1947,liberal,court opinion,False,remand,False,432,23,August/23/1949,8,1949,1946-065-01,90140,cert,6,Infrequently litigated statutes,91 L. Ed. 1024,1947 U.S. LEXIS 2550,conservative,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,0,AETNA CASUALTY & SURETY CO. ET AL. v. FLOWERS,1301,116,Tennessee Eastern U.S. District Court,,1,"insurance company, or surety",171,,False,putative conflict,"employee, or job applicant, including beneficiaries of",145,,67 S. Ct. 798,26,"U.S. Court of Appeals, Sixth Circuit",,False,24,June/24/1946,6,1946,1946,venue,False,no unconstitutionality,False,330 U.S. 464,1946-065-01-01-01,favorable disposition for petitioning party
False,31,,U.S. Employees' Compensation Commission,Economic Activity,judicial review (national level),,1946-066,1946-066-01-01,reversed,Vinson,10,1/10/1947,1,1947,10,1/10/1947,1,1947,10,3/10/1947,3,1947,liberal,court opinion,True,reversed,False,265,23,August/23/1949,8,1949,1946-066-01,80040,cert,1,Constitution,91 L. Ed. 1028,1947 U.S. LEXIS 2874,conservative,7,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,82,"Murphy, Francis ( 02/05/1940 - 07/19/1949 )",FMurphy,2,"CARDILLO, DEPUTY COMMISSIONER, UNITED STATES EMPLOYEES' COMPENSATION COMMISSION, v. LIBERTY MUTUAL INSURANCE CO. ET AL.",1301,55,District Of Columbia U.S. District Court,,1,"U.S. Employees' Compensation Commission, or Commissioner",331,,False,putative conflict,"insurance company, or surety",171,,67 S. Ct. 801,32,"U.S. Court of Appeals, District of Columbia Circuit (includes the Court of Appeals for the District of Columbia but not the District of Columbia Court of Appeals, which has local jurisdiction)",,False,24,June/24/1946,6,1946,1946,sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death,False,no unconstitutionality,False,330 U.S. 469,1946-066-01-01-01,favorable disposition for petitioning party
False,82,,National Labor Relations Board,Unions,statutory construction,,1946-067,1946-067-01-01,affirmed (includes modified),Vinson,9,1/9/1947,1,1947,9,1/9/1947,1,1947,10,3/10/1947,3,1947,liberal,court opinion,False,affirmed,False,658,23,August/23/1949,8,1949,1946-067-01,70070,cert,3,Federal Statute,91 L. Ed. 1040,1947 U.S. LEXIS 2854,liberal,5,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,84,"Jackson, Robert ( 07/11/1941 - 10/09/1954 )",RHJackson,4,PACKARD MOTOR CAR CO. v. NATIONAL LABOR RELATIONS BOARD,1301,26,"U.S. Court of Appeals, Sixth Circuit",,1,auto manufacturer,189,,False,no reason given,"National Labor Relations Board, or regional office or officer",382,,67 S. Ct. 789,26,"U.S. Court of Appeals, Sixth Circuit",,False,24,June/24/1946,6,1946,1946,labor-management disputes: bargaining,False,no unconstitutionality,False,330 U.S. 485,1946-067-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Judicial Power,federal common law,,1946-068,1946-068-01-01,reversed,Vinson,18,12/18/1946,12,1946,18,12/18/1946,12,1946,10,3/10/1947,3,1947,liberal,court opinion,True,reversed,False,93,23,August/23/1949,8,1949,1946-068-01,90140,cert,-1,unknown,91 L. Ed. 1055,1947 U.S. LEXIS 2551,conservative,5,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,84,"Jackson, Robert ( 07/11/1941 - 10/09/1954 )",RHJackson,4,"GULF OIL CORP. v. GILBERT, DOING BUSINESS AS GILBERT STORAGE & TRANSFER CO.",1301,96,New York Southern U.S. District Court,,1,"oil company, or natural gas producer",198,,False,no reason given,"business, corporation",122,,67 S. Ct. 839,22,"U.S. Court of Appeals, Second Circuit",,False,24,June/24/1946,6,1946,1946,venue,False,no unconstitutionality,False,330 U.S. 501,1946-068-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Judicial Power,federal common law,statutory construction,1946-069,1946-069-01-01,affirmed (includes modified),Vinson,19,12/19/1946,12,1946,19,12/19/1946,12,1946,10,3/10/1947,3,1947,liberal,court opinion,True,affirmed,False,206,23,August/23/1949,8,1949,1946-069-01,90140,cert,4,Court Rules,91 L. Ed. 1067,1947 U.S. LEXIS 2552,liberal,5,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,84,"Jackson, Robert ( 07/11/1941 - 10/09/1954 )",RHJackson,4,KOSTER v. (AMERICAN) LUMBERMENS MUTUAL CASUALTY CO.,1301,94,New York Eastern U.S. District Court,,1,"stockholder, shareholder, or bondholder",237,,False,no reason given,"insurance company, or surety",171,,67 S. Ct. 828,22,"U.S. Court of Appeals, Second Circuit",,False,24,June/24/1946,6,1946,1946,venue,False,no unconstitutionality,False,330 U.S. 518,1946-069-01-01-01,no favorable disposition for petitioning party
False,37,,Farm Credit Administration,Federal Taxation,statutory construction,,1946-070,1946-070-01-01,reversed,Vinson,5,2/5/1947,2,1947,5,2/5/1947,2,1947,17,3/17/1947,3,1947,liberal,court opinion,False,affirmed,False,417,23,August/23/1949,8,1949,1946-070-01,120030,cert,6,Infrequently litigated statutes,91 L. Ed. 1082,1947 U.S. LEXIS 2526,conservative,8,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,82,"Murphy, Francis ( 02/05/1940 - 07/19/1949 )",FMurphy,1,"UNITED STATES DEPARTMENT OF AGRICULTURE, EMERGENCY CROP AND FEED LOANS v. REMUND, ADMINISTRATOR",1301,302,State Trial Court,North Carolina,1,Department or Secretary of Agriculture,304,,False,to resolve important or significant question,"agent, fiduciary, trustee, or executor",102,,67 S. Ct. 891,300,State Supreme Court,North Carolina,False,24,June/24/1946,6,1946,1946,priority of federal fiscal claims: over those of the states or private entities,False,no unconstitutionality,False,330 U.S. 539,1946-070-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Unions,statutory construction,,1946-071,1946-071-01-01,affirmed (includes modified),Vinson,10,2/10/1947,2,1947,10,2/10/1947,2,1947,31,3/31/1947,3,1947,conservative,court opinion,False,affirmed,False,564,23,August/23/1949,8,1949,1946-071-01,70040,cert,3,Federal Statute,91 L. Ed. 1088,1947 U.S. LEXIS 2944,conservative,6,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,3,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. GENERAL INDUSTRIES CO.",1301,103,Ohio Northern U.S. District Court,,1,Department or Secretary of Labor,371,,False,putative conflict,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",151,,67 S. Ct. 883,26,"U.S. Court of Appeals, Sixth Circuit",,False,24,June/24/1946,6,1946,1946,Fair Labor Standards Act,False,no unconstitutionality,False,330 U.S. 545,1946-071-01-01-01,no favorable disposition for petitioning party
False,117,Texas,State Agency,Civil Rights,judicial review (state level),,1946-072,1946-072-01-01,affirmed (includes modified),Vinson,5,2/5/1947,2,1947,5,2/5/1947,2,1947,31,3/31/1947,3,1947,conservative,court opinion,False,affirmed,False,291,23,August/23/1949,8,1949,1946-072-01,20060,appeal,2,Constitutional Amendment,91 L. Ed. 1093,1947 U.S. LEXIS 2870,conservative,5,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,4,KOTCH ET AL. v. BOARD OF RIVER PORT PILOT COMMISSIONERS FOR THE PORT OF NEW ORLEANS ET AL.,1301,302,State Trial Court,North Carolina,1,"holder of a license or permit, or applicant therefor",177,,False,case did not arise on cert or cert not granted,"state commission, board, committee, or authority",4,Louisiana,67 S. Ct. 910,300,State Supreme Court,North Carolina,False,24,June/24/1946,6,1946,1946,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions. ",False,no unconstitutionality,False,330 U.S. 552,1946-072-01-01-01,no favorable disposition for petitioning party
True,66,,Interstate Commerce Commission,Economic Activity,interpretation of administrative regulation or rule,statutory construction,1946-073,1946-073-01-01,affirmed (includes modified),Vinson,12,2/12/1947,2,1947,12,2/12/1947,2,1947,31,3/31/1947,3,1947,liberal,court opinion,False,reversed,False,72,23,August/23/1949,8,1949,1946-073-01,80230,appeal,3,Federal Statute,91 L. Ed. 1102,1947 U.S. LEXIS 2871,liberal,7,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,2,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",1301,66,Illinois Northern U.S. District Court,,1,Interstate Commerce Commission,366,,False,case did not arise on cert or cert not granted,"water transportation, stevedore",116,,67 S. Ct. 894,66,Illinois Northern U.S. District Court,,False,24,June/24/1946,6,1946,1946,federal and some few state regulations of transportation regulation: boat,False,no unconstitutionality,False,330 U.S. 567,1946-073-01-01-01,no favorable disposition for petitioning party
False,105,,Securities and Exchange Commission,Criminal Procedure,statutory construction,,1946-074,1946-074-01-01,affirmed (includes modified),Vinson,16,1/16/1947,1,1947,16,1/16/1947,1,1947,31,3/31/1947,3,1947,liberal,court opinion,False,reversed,False,453,23,August/23/1949,8,1949,1946-074-01,10080,cert,6,Infrequently litigated statutes,91 L. Ed. 1117,1947 U.S. LEXIS 2471,liberal,7,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,2,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1301,29,"U.S. Court of Appeals, Ninth Circuit",,1,"management, executive officer, or director, of business entity",185,,False,no reason given,Securities and Exchange Commission,405,,67 S. Ct. 918,29,"U.S. Court of Appeals, Ninth Circuit",,False,24,June/24/1946,6,1946,1946,contempt of court or congress,False,no unconstitutionality,False,330 U.S. 585,1946-074-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Interstate Relations,judicial review (state level),,1946-075,1946-075-01-01,affirmed (includes modified),Vinson,5,2/5/1947,2,1947,5,2/5/1947,2,1947,31,3/31/1947,3,1947,unspecifiable,court opinion,False,affirmed,False,384,23,August/23/1949,8,1949,1946-075-01,110030,cert,1,Constitution,91 L. Ed. 1133,1947 U.S. LEXIS 2472,unspecifiable,9,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,0,NEW YORK EX REL. HALVEY v. HALVEY,1301,302,State Trial Court,North Carolina,1,"wife, or ex-wife",253,,False,to resolve important or significant question,"husband, or ex-husband",168,,67 S. Ct. 903,300,State Supreme Court,North Carolina,False,24,June/24/1946,6,1946,1946,miscellaneous interstate relations conflict,False,no unconstitutionality,False,330 U.S. 610,1946-075-01-01-01,no favorable disposition for petitioning party
False,117,Texas,State Agency,Interstate Relations,judicial review (state level),,1946-076,1946-076-01-01,reversed,Vinson,17,1/17/1947,1,1947,17,1/17/1947,1,1947,31,3/31/1947,3,1947,unspecifiable,court opinion,False,affirmed,False,270,23,August/23/1949,8,1949,1946-076-01,110030,cert,1,Constitution,91 L. Ed. 1140,1947 U.S. LEXIS 2473,unspecifiable,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,82,"Murphy, Francis ( 02/05/1940 - 07/19/1949 )",FMurphy,0,INDUSTRIAL COMMISSION OF WISCONSIN ET AL. v. McCARTIN ET AL.,1301,302,State Trial Court,North Carolina,1,"state commission, board, committee, or authority",4,Wisconsin,False,to resolve question presented,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",151,,67 S. Ct. 886,300,State Supreme Court,North Carolina,False,24,June/24/1946,6,1946,1946,miscellaneous interstate relations conflict,False,no unconstitutionality,False,330 U.S. 622,1946-076-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Criminal Procedure,judicial review (national level),,1946-077,1946-077-01-01,affirmed (includes modified),Vinson,21,11/21/1946,11,1946,21,11/21/1946,11,1946,31,3/31/1947,3,1947,conservative,court opinion,True,affirmed,False,49,23,August/23/1949,8,1949,1946-077-01,10600,cert,1,Constitution,91 L. Ed. 1145,1947 U.S. LEXIS 2474,conservative,8,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,84,"Jackson, Robert ( 07/11/1941 - 10/09/1954 )",RHJackson,1,HAUPT v. UNITED STATES,1301,66,Illinois Northern U.S. District Court,,1,"person accused, indicted, or suspected of crime",100,,False,no reason given,United States,27,,67 S. Ct. 874,27,"U.S. Court of Appeals, Seventh Circuit",,False,24,June/24/1946,6,1946,1946,"miscellaneous criminal procedure (cf. due process, prisoners' rights, comity: criminal procedure)",False,no unconstitutionality,False,330 U.S. 631,1946-077-01-01-01,no favorable disposition for petitioning party
False,66,,Interstate Commerce Commission,Unions,statutory construction,,1946-078,1946-078-01-01,affirmed (includes modified),Vinson,11,12/11/1945,12,1945,21,10/21/1946,10,1946,31,3/31/1947,3,1947,conservative,court opinion,False,reversed,False,22,23,August/23/1949,8,1949,1946-078-01,70040,cert,3,Federal Statute,91 L. Ed. 1158,1947 U.S. LEXIS 2853,conservative,6,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,86,"Burton, Harold ( 10/01/1945 - 10/13/1958 )",HHBurton,3,LEVINSON v. SPECTOR MOTOR SERVICE,1301,302,State Trial Court,North Carolina,1,"employee, or job applicant, including beneficiaries of",145,,False,to resolve important or significant question,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",151,,67 S. Ct. 931,300,State Supreme Court,North Carolina,False,24,June/24/1946,6,1946,1946,Fair Labor Standards Act,False,no unconstitutionality,False,330 U.S. 649,1946-078-01-01-01,no favorable disposition for petitioning party
