Artist,Classification,Continent,Country,Credit Line,Dated,Department,Dimension,Inscription,Medium,Nationality,Provenance,Rights Type,Room,Short Description,Signed,Style,Text,Title,Years Living
N/A, Textiles,Asia,Syria,Gift of Countess Phelps Resse,18th century,Textiles,14 1/2 x 12 1/4 in. (36.83 x 31.12 cm),N/A,Linen; needlework,N/A,N/A,Public Domain,Not on View,"An oblong square of heavy blue linen, polychrome embroidery, design somewhat like a prayer rug, evidently an oriental suggestion.",N/A,18th century,N/A,Square,N/A
Artist: Francesco Calepino, Textiles,Europe,Italy,Gift of Countess Phelps Resse,16th century,Textiles,8 3/16 x 5 7/8 x 3/4 in. (20.78 x 14.94 x 1.91 cm),N/A,Woodblock prints and needlework samples; letterpress,Italian,N/A,Public Domain,Not on View,"""Lucidario di Ricam;"" Book containing 60 printed designs, also 26 examples of lace, among which a tiny sampler all mounted together in a book bound in red silk damask. Book probably bound later and samples pasted on stuff.",N/A,16th century,N/A,Tracings for Fancywork,Italian
N/A, Textiles,N/A,N/A,Gift of Countess Phelps Resse,16th century,Textiles,39 x 10 1/2 in. (99.06 x 26.67 cm),N/A,Linen; drawn-thread work (Punto Tirato); lace,N/A,N/A,Public Domain,Not on View,"A portion of an altar cloth of white linen embroidered in a repeated and reversed ornato. Small birds front kind of tree, whose upper convolution terminate in the head of a bird.",N/A,16th century,N/A,Altar Cloth fragment,N/A
Artist: Giovanni Oftaus, Textiles,Europe,Italy,Gift of Countess Phelps Resse,1584,Textiles,5 1/2 x 7 1/2 in. (13.97 x 19.05 cm),N/A,"Woodblock prints, letterpress; needlework",N/A,N/A,Public Domain,Not on View,"Embroidery book with samples of surface ornamentation, needlework; ""La verra perfettione del disegno- - -"" Venice, 1584. Newly bound.",N/A,16th century,N/A,The True Perfection of Design,N/A
N/A, Textiles,Asia,India,The William Hood Dunwoody Fund,Late 19th century,"Chinese, South and Southeast Asian Art",88 3/4 x 55 1/2 in. (225.43 x 140.97 cm),Lozenges contain Arabic script,"Cotton; natural dyes, mordants; mordant block printed and pigment painting",N/A,N/A,Public Domain,Not on View,"Printed hanging, center panel contains design of cypress trees monographed date at foot of center one. Triple border, one of the restives containing inscriptions from Koran.",N/A,19th century,N/A,Ceremonial cloth and sacred heirloom,N/A
N/A, Furniture,Europe,England,The Washburn Fund,1580-1620,"Decorative Arts, Textiles and Sculpture",30 x 37 x 38 3/4 in. (76.2 x 94.0 x 98.4 cm),N/A,Oak,N/A,N/A,Public Domain,G325,"Octagonal with double arch apron between legs of front side, gate leg at back.",N/A,16th-17th century,N/A,Folding table,N/A
N/A, Textiles,Europe,England,Washburn Fund,mid 17th century,Textiles,37 3/8 x 24 1/2 in. (94.93 x 62.23 cm),N/A,Silk and metal threads; embroidery,N/A,N/A,Public Domain,Not on View,"Mirror frame; of Stuart stump work on white ground; six figures at sides, castle at top, fountain at bottom.Tortoise shell moulding. Present cresting not original but made up of piece from coffre cover. (to be removed).",N/A,17th century,N/A,Mirror Frame,N/A
Artist: Douglas Volk, Paintings,North America,United States,Gift of Mr. and Mrs. E.J. Phelps,1887,Paintings,"34 3/4 x 25 1/2 in. (88.27 x 64.77 cm) (canvas)
48 x 38 1/2 x 3 1/2 in. (121.92 x 97.79 x 8.89 cm) (outer frame)",Signature,Oil on canvas,American,N/A,Public Domain,G302,Genre.,LL: [Douglas Volk],19th century,"The celebration over, the weary bride rests on a settee, one satin glove dropped on the floor. Caroline Thompson is the bride; the artist, Douglas Volk, was a friend of her parents. At one sitting for this painting, Volk adjusted the neck of the gown to reveal more of Caroline?s shoulder. As the young woman blushed, her mother remarked, ?Now, my dear, Mr. Volk is an artist and he only thinks of you as he would a vase of flowers.? Mrs. Thompson?s esteem for Volk was warranted. He had trained in Italy and France, and in 1886 he became the first director of the Minneapolis School of Fine Arts, now the Minneapolis College of Art and Design.

Recent conservation of this picture was made possible by a generous contribution from Al and Dena Naylor through the Adopt-a-Painting program.
",After the Reception,"American, 1856?1935"
"Artist: Unknown , German", Books,Europe,Germany,The Washburn Fund,c. 1300,Prints and Drawings,"12 3/8 x 9 1/16 in. (31.43 x 23.02 cm) (image)
13 ? 9 1/4 ? 4 in. (33.02 ? 23.5 ? 10.16 cm) (closed)",Inscription,Tempera and gold on parchment,N/A,"Heilig Kreuz, Regensburg, Germany ('until 1876; 'sold to Alfred Coppenrath, Regensberg); [Joseph Martini, Zurich and Lathrop C. Harper, New York, until 1923; sold to MIA]",Public Domain,Not on View,"Bound missal; 373 folios; includes illuminated miniatures, historiated initials and 15th c. binding of tooled pigskin with engraved brass corners and centerpiece",N/A,13th-14th century,"A missal (mass-book) is the book used by a priest when celebrating mass at the altar.  It contains all the variable parts (chants, prayers and readings) integral to the mass service for every Sunday and weekday throughout the year, together with ceremonial directions.

This missal once belonged to the Domenican convent of Heiligen Kreuz (Holy Cross) in Regensburg (S. Germany), founded in 1233, eleven years after Saint Domenic's death.  It is written in a Gothic script called littera textualis, the principal script used during the late medieval period.  The letters were formed with contrasting broad and thin strokes, united in angular and laterally compressed configurations that emphasize the word unit rather than the single letter.

One of the few miniatures normally found in a missal is the Crucifixion scene on the beginning page of the canon, the most solemn part of the mass.  In this example, notice the tiny Domenican monk at the base of the cross. On the opposite page the large letters C and M are pen-flourished initials, enhanced with fine linear embellishments in red and blue.",Dominican Missal,N/A
Artist: El Greco (Domenikos Theotokopoulos), Paintings,Europe,Spain,The William Hood Dunwoody Fund,c. 1570,Paintings,"46 x 59 in. (116.84 x 149.86 cm) (canvas)
45 1/2 x 58 in. (115.57 x 147.32 cm) (sight)
60 x 72 1/2 x 3 in. (152.4 x 184.15 x 7.62 cm) (outer frame)",N/A,Oil on canvas,Greek,N/A,Public Domain,G341,Religion: NT. Purification of the temple. Christ driving the money-changers from the temple with a whip.,"LC (steps in Greek capital letters): DOMENIKOS THEOTOKOPOULDS KRES E\'POIEI (translated Wethey, p. 68)",16th century,"Christ's expulsion of the money changers who were desecrating the temple in Jerusalem was a favorite theme in Counter-Reformation art. To Catholics, it symbolized purification of the church through internal reforms and the expulsion of Protestant heretics. 

Known for his uniquely Mannerist style, El Greco used jarring lines, confused space, and illogical lighting in this composition, contributing to the atmosphere of anger and disruption. In 1577 El Greco settled permanently in Spain. A native of Crete, he became known as ""El Greco"" (the Greek), but here his full signature appears in Greek letters on the step below Christ.

In the lower right corner, El Greco portrayed the four artists he regarded as the giants of the Renaissance:  Titian, Michelangelo, Giulio Clovio, and Raphael.",Christ Driving the Money Changers from the Temple,"Greek, 1541-1614"
N/A, Lacquer,Asia,Japan,Gift of Mrs. George W. Porter,18th century,Japanese and Korean Art,Diam.4-9/16 (mirror) in.; Diam.5-1/4 (case) in.,N/A,Black and gold lacquer,N/A,N/A,Public Domain,Not on View,"Mirror of metal on the back of which are birds trees and sacred turtle in high relief, bearing the crest of the Tokugawa family, three asarum leaves, their points together, within a circle Mirror fits into round lacquer box also bearing the crest, three times on cover.",N/A,18th century,"These small boxes are decorated with a pattern of bamboo, plum and pine, symbolic of strength and longevity. They also bear the hollyhock crest of the Tokugawa family rulers of Japan during the Edo period (1615-1868).",(Cosmetic box),N/A
Artist: Studio of Marcus Gheeraerts the Younger, Paintings,Europe,England,The John Washburn Fund,1599,Paintings,19 1/2 x 15 1/2 in. (49.53 x 39.37 cm) (panel),Date,"Oil on panel
(1970 catalogue states 'oil on panel, mounted on aluminum')",Flemish,N/A,Public Domain,G325,"Portrait of a man. Portrait of Robert Devereux, Second Earl of Essex",UL: [Ano 1599],16th century,"The Earl of Essex was an English nobleman and a favorite of Queen Elizabeth I. Politically ambitious, and a committed general, he was placed under house arrest following a poor campaign in Ireland during the Nine Years' War in 1599. In 1601, he led a failed coup d'etat against the government and was executed for treason.
During the mid-1590s, while Essex was still in favor at court, he relied upon celebrated Tudor artist Marcus Gheeraerts the Younger exclusively for portrait sittings. This work is a studio variant of his most famous portrait, now housed at Woburn Abbey in England.","Portrait of Robert Devereux, Second Earl of Essex","Flemish, 1561/62 - 1636"
Artist: S?bastien Bourdon, Paintings,Europe,France,The William Hood Dunwoody Fund,17th century,Paintings,42 x 54 in. (106.68 x 137.16 cm) (canvas),N/A,Oil on canvas,French,N/A,Public Domain,G313,Religion: OT. Moses at a well meets the seven daughters of Jethro,N/A,17th century,N/A,Moses Defending the Daughters of Jethro,"French, 1616-1671"
Artist: Hercules Brabazon Brabazon, Drawings,Europe,England,The John De Laittre Fund,19th century,Prints and Drawings,9 1/16 x 10 in. (23.02 x 25.4 cm) (sheet),Signature,Watercolor,English,N/A,Public Domain,Not on View,N/A,[H B B],19th century,N/A,"Grand Canal, Venice","English, 1821 - 1906"
Artist: F?lix Bracquemond, Drawings,Europe,France,"John DeLaittre Memorial Collection
Gift of funds from Mrs. Horace Ropes",1879,Prints and Drawings,10 3/8 x 13 3/4 in. (26.35 x 34.93 cm),Signature; Date,"Graphite, charcoal, ink, and wash touched with red chalk and lead white (oxidized in places)",French,N/A,Public Domain,Not on View,N/A,"[Bracquemond 1879], lower left",19th century,N/A,Geese and the Approaching Storm,"French, 1833?1914"
Artist: attributed to Eliakim Smith, Furniture,North America,United States,Gift funds from the Friends of the Institute,c. 1755,"Decorative Arts, Textiles and Sculpture",76 1/2 x 37 1/4 x 9 1/2 in. (194.31 x 94.62 x 24.13 cm),N/A,"Cherry, white pine, and brass (handles)",American,N/A,Public Domain,G331,bonnet top and cabriole legs,N/A,18th century,"Eliakim Smith was one of the most skilled cabinetmakers in the rural Connecticut River Valley of western Massachusetts.  A variety of furniture forms, including chests-on-chests, desks-and-bookcases, and high chests of drawers were made by Smith or those that worked in his shop.  The objects have histories in Hadley, Northampton, and other towns around Springfield, Massachusetts.  
<P>While it is unknown where Smith trained, he adopted the more urban Boston traditions of craftsmanship, as seen here in the stylized flame finials and molded drawer sides.",Chest of Drawers,"American (Hadley, Massachusetts), 1735 - 1775"
N/A, Metalwork,North America,United States,Gift funds from the Friends of the Institute,late 18th century,"Decorative Arts, Textiles and Sculpture",34 1/2 x 6 in. (87.63 x 15.24 cm),N/A,Brass and iron,N/A,N/A,Public Domain,G336,fire shovel with steeple top,N/A,18th century,N/A,Fire shovel and tongs,N/A
N/A, Furniture,North America,United States,Gift funds from the Friends of the Institute,1730-1760,"Decorative Arts, Textiles and Sculpture",28 1/4 x 23 x 23 in. (71.76 x 58.42 x 58.42 cm),N/A,Walnut,N/A,N/A,Public Domain,G336,"tilt top table, circular with tripod base and rim around edge of top; fine patine",N/A,18th century,N/A,Folding stand,N/A
N/A, Sculpture,Europe,Greece,The Ethel Morrison Van Derlip Fund,330-317 BCE,"Decorative Arts, Textiles and Sculpture",29 x 48 in. (73.66 x 121.92 cm),N/A,Pentellic marble,N/A,N/A,Public Domain,G241,Executed by an Athenian sculptor of marble from the quarry at Mount Pentelicus,N/A,4th century BCE,"Although the ancient Greeks used a variety of animals, including bulls, griffins and lions, to decorate tombs, lions were the most popular, typically functioning as guardian figures. This lion was discovered in a cemetery north of the Acropolis in 1914.
<P>This sculpture illustrates the difficulty in using style to date a work. The Classical period in Greek sculpture, ending in 323 B.C. with the death of Alexander the Great, emphasized accuracy of physical details, as shown here in the veins and musculature of the feline body. However, the tufted mane, furrowed brow and facial features are more typical of the succeeding Hellenistic period, known for its greater expressiveness and variety of sculptural poses.",Crouching Lion,N/A
N/A," Tools, Equipment and Utilitarian Objects",Africa,Egypt,Gift of Miss Lily Place,300 BCE - 300 CE,Art of Africa and the Americas,5/8 x 1-7/8 x 1-3/4 in. (1.6 x 4.8 x 4.4 cm),N/A,Green stone,N/A,N/A,Public Domain,Not on View,"Make-up stone, green stone, Egyptian, Ptolemaic, century? cat. card dims 5/8 x 1-7/8 x 1-3/4' small flat plate on square base, such palettes were used for mixing of cosmetics, or by the scribes for their ink.

Cosmetic palette, on square base; greyish green stone",N/A,4th century BCE - 4th century CE,N/A,Make-up Palette,N/A
N/A, Textiles,Asia,India,Gift of Miss Lily Place,18th century,"Chinese, South and Southeast Asian Art",44 1/2 in. (113.03 cm),N/A,"Silk, small mirror discs; needlework",N/A,N/A,Public Domain,Not on View,Woman's shirt and trousers; of light weight green satin; triangular ornamentation below opening for neck consisting of silk embroidery enclosing small mirror discs; similar embroidery on bottom of trouser leg,N/A,18th century,N/A,Woman's Shirt,N/A
Artist: Frederick G. Smith; Artist: Formerly attributed to Dante Gabriel Rossetti; Artist: Formerly attributed to Frederic James Shields, Drawings,Europe,England,"Gift of Mrs. C. J. Martin, in memory of Charles Jairus Martin",c. 1888-89,Prints and Drawings,68 1/2 x 24 3/4 in. (173.99 x 62.87 cm),Signature (spurious),"Pen and ink, brush and wash over graphite",English,N/A,Public Domain,G352,"Design for a stained glass window; once thought to be by Dante Gabriel Rosetti
from a series of The Elements",Inscribed: [D.G.R.],19th century,"The attribution of this impressive stained glass design, along with its three companion drawings in Mia's collection (10.1-10.3), has been a century-old puzzle. The large-scale cartoons, representing the four elements, were acquired in 1910 as the work of the famous British Pre-Raphaelite painter Dante Gabriel Rossetti (1828-1882). This attribution was based on the spurious monogram ""D.G.R"" inscribed at the lower edge of each of the drawings. Over the years, other artists' names have been proposed--Frederic James Shields (1833-1911), Henry Holiday (1839-1927)--but no consensus among experts was found. 

In December 2015, exactly 105 years after the drawings were given to the museum, the identity of the artist has been recovered. They are the work of the British artist Frederick G. Smith. It was Peter Cormack, the noted scholar of British and American stained glass, who tracked down Smith and also identified the project for which they were produced, the grand staircase at Avery Hill, in southeast London. Smith was a partner of the London firm Campbell, Smith, & Co., and he likely executed these cartoons between 1888 or 1889, when the house was being reconstructed by Colonel John T. North. The stained glass was completed by 1890, but  Avery Hill was badly damaged during the Blitz of World War II. In 1982 the museum acquired a stained glass panel directly related to the series, representing the allegory of Water (81.92). The provenance is not known, but the glass is roughly half the size of the drawing. It may have come from Avery Hill, or perhaps Campbell, Smith & Co. executed multiple versions of Smith's designs.","Water, from the series The Four Elements","English, 1833 - 1911"
Artist: Henri de Toulouse-Lautrec, Drawings,Europe,France,"John DeLaittre Memorial Collection
Gift of funds from Mrs. Horace Ropes",1896,Prints and Drawings,25 1/2 x 19 3/4 in. (64.77 x 50.17 cm),Signature,Chinese ink and blue crayon,French,"[Edmond Sagot- Le Garrec, Paris, until 1925; sold to MIA]",Public Domain,Not on View,N/A,LL: monogram,19th century,N/A,At Armenonville (The Follower),"French, 1864?1901"
Artist: Jeremiah Theus, Paintings,North America,United States,Gift of funds from the Friends of the Institute,c. 1771,Paintings,"30 x 25 in. (76.2 x 63.5 cm) (canvas)
29 1/2 x 24 5/8 in. (74.93 x 62.55 cm) (sight)
37 x 32 3/8 x 2 3/8 in. (93.98 x 82.23 x 6.03 cm) (outer frame)",N/A,Oil on canvas,American,N/A,Public Domain,G336,Portrait.,N/A,18th century,N/A,Portrait of Marcy Olney (1749 - 1780?),"American, 1719 - 1774"
Artist: Robert Koehler, Paintings,North America,United States,Gift by subscription in honor of the artist,c. 1902,Paintings,"25 3/4 x 24 in. (65.41 x 60.96 cm) (canvas)
36 1/8 x 38 1/4 in. (91.76 x 97.16 cm) (outer frame)",Signature,Oil on canvas,American,N/A,Public Domain,G302,Landscape,LL: [Robert Koehler],19th-20th century,"A rainy night in Paris, or something closer to home' Robert Koehler?s familiarity with French Impressionism is evident from the loose brushwork and soft, misty forms. Prominent in the picture are the artist?s wife, Marie, and their son, Edwin, along with the family dog. The building in the background is the Minneapolis Public Library (since demolished), which stood at 10th Street and Hennepin Avenue from 1889 until 1961.

In 1893 Robert Koehler became the director of the Minneapolis School of Fine Arts, now the Minneapolis College of Art and Design.

",Rainy Evening on Hennepin Avenue,"American, 1850?1917"
Decorator: John Pennington; Manufacturer: Worcester Porcelain Works (a.k.a. Royal Worcester Porcelain Company), Ceramics,Europe,England,Bequest of Alfred Duane Pell,1790,"Decorative Arts, Textiles and Sculpture",1 1/4 x 9 3/4 x 9 3/4 in. (3.18 x 24.77 x 24.77 cm),N/A,"Porcelain, enamel, gilt",N/A,N/A,Public Domain,G333,"Plate, ceramic-porcelain, English, XVIIIc cat. card dims diam 9-1/2 x H 1-1/4'",N/A,18th century,N/A,"Plate from the ""Hope"" dinner service","Worcester, England, est. 1751"
Artist: Ferdinand Hodler, Drawings,Europe,Switzerland,"John DeLaittre Memorial Collection
Gift of funds from Mrs. Horace Ropes
Lucerne DeLaittre Fund (card cat.)

",c. 1915,Prints and Drawings,13 3/4 x 22 1/2 in. (34.93 x 57.15 cm),"Signature
see Signed",Graphite and India ink,Swiss,Willy Russ ('),Public Domain,Not on View,N/A,[F.H.],20th century,N/A,Study for A Glance into the Infinite,"Swiss, 1853-1918"
Artist: Peter Paul Rubens, Paintings,Europe,Netherlands,The William Hood Dunwoody Fund,1633-1634,Paintings,33 1/4 x 25 7/8 in. (84.46 x 65.72 cm) (panel),N/A,Oil on gessoed wood (oak) panel,Flemish,N/A,Public Domain,G313,"Historical. Charles I, King of England. A helmeted Britannia, wearing violet drapery, holds steady the golden crown which England and Scotland, in red and yellow draperies, suspend above the head of the Infant Charles I. Two putti above support an escutcheon with the arms of the United Kingdom lightly indicated, and a putto below holds a torch to a heap of armor, spears, and dull red banners which the union makes no longer necessary.",N/A,17th century,"King Charles I of England commissioned Rubens to paint a ceiling mural for the Banqueting House at Whitehall Palace in London. This is an oil sketch for the portion of the mural celebrating the power of the Stuart monarchy and the reign of James I, Charles' deceased father. 

In this painting the child represents young Prince Charles, the embodiment of the union of England and Scotland. Three women crown him: the woman in red personifies England; the woman in yellow represents Scotland; and the third is Minerva, goddess of wisdom and war. Above them two cherubs hold the coat-of-arms of the United Kingdom.",The Union of England and Scotland (Charles I as the Prince of Wales),"Flemish, 1577-1640"
N/A, Adornment; Funerary Goods,Africa,Egypt,Gift of Edward S. Harkness,2040-1783 BCE,Art of Africa and the Americas,6 1/8 x 25 in. (15.6 x 63.5 cm),N/A,Egyptian faience,N/A,N/A,Public Domain,G254,"broad collar of blue faience beads, an extraordinarily large example of funerary jewelry typical of the middle kingdom; blue glazed faience.
Both heads generally cracked and chipped at beak.",N/A,22nd-18th century BCE,"This broad collar with falcon head terminals is made of Egyptian faience, a glazed ceramic made not of clay but silica, one of the ingredients of glass. Its characteristic green color was likened to new plant shoots and was symbolic of regeneration, while its luster evoked the brilliance of the sun. Because Egyptians believed they could be reborn into the afterlife, these associations made faience the ideal material for funerary jewelry.",Broad collar,N/A
N/A, Sculpture,North America,United States,Gift of Mr. Harry E. Wood,late 19th century,Art of Africa and the Americas,11 3/4 x 1 1/2 in. (29.8 x 3.8 cm),N/A,"Wood, probably cedar",N/A,N/A,Public Domain,Not on View,"Wooden knife with round double edged blade, with figure carved on top. The figure appears to be a man but has ears on top which should signify an animal. There are no distinguishing attributes. Back almost plain.",N/A,19th century,N/A,Wooden knife,N/A
N/A," Tools, Equipment and Utilitarian Objects",North America,United States,Gift of Harry E. Wood,19th century,Art of Africa and the Americas,19 3/4 x 2 5/8 in. (50.2 x 6.7 cm),N/A,Stone; wood,N/A,N/A,Public Domain,Not on View,Stone Axe with wooden handle. The blade has very blunt edge beveled from both sides and a groove to fit on handle. The handle is a stick with forked end which fits around blade. The two are bound to-gether with root or supple twigs.,N/A,19th century,N/A,Axe,N/A
N/A," Tools, Equipment and Utilitarian Objects",North America,United States,Gift of Mr. Harry E. Wood,19th century,Art of Africa and the Americas,2 1/2 x 19 x 6 1/4 in. (6.4 x 48.3 x 15.9 cm),N/A,"Stone, wood, leather",N/A,N/A,Public Domain,Not on View,"Adze made by binding stone blade onto wooden handle. The blade has cutting end beveled from both sides and groove cut around end to holds thong which binds it to handle. The handle is formed of a curved stick growing at right angles from trunk of tree, part of which is used as base for stone blade.",N/A,19th century,N/A,Adze,N/A
N/A, Sculpture,North America,United States,Gift of Mr. Harry E. Wood,late 19th century,Art of Africa and the Americas,36 1/4 x 4 x 2 in. (92.1 x 10.2 x 5.1 cm),N/A,Wood,N/A,N/A,Public Domain,Not on View,"Small totem with knob at top and long point at bottom, carved between with figures. From top down they are a man holding a frog by its hind legs, an eagle with down curved beak and wings and tail carved on back of pole, bear with large mouth full of teeth and round nose turning suddenly into forehead, flicker with long pointed beak and wings and tail carved on back of pole, frog with head down. late 19th century.",N/A,19th century,N/A,Small Totem (Speaker's Stick),N/A
N/A, Sculpture,Asia,Cyprus,The William Hood Dunwoody Fund,600-500 BCE,"Decorative Arts, Textiles and Sculpture",12 3/4 in. (32.39 cm),N/A,Limestone,N/A,N/A,Public Domain,G241,"Helmeted and bearded head of a votary of carved limestone; in the archaic Cypriote style; the beard radiating with intersections; the helmet is quilted and framed and allows one row of curls to show above forehead.  Ears are showing; a vigorous representation in nearly perfect state of preservation.  From the temple of Golgoi. ;votary in the temple of Golgai; head only; archaic, cypriote style; radiating beard, quilted helmet; archaic smile; strong frontality",N/A,6th-5th century BCE,N/A,Head of a Votary from the Temple of Golgoi,N/A
N/A, Sculpture,Asia,Cyprus,The William Hood Dunwoody Fund,c. 470 BCE,"Decorative Arts, Textiles and Sculpture",61 1/4 in. (155.58 cm),N/A,Limestone,N/A,N/A,Public Domain,G230,"life-size carved statue of a bearded votary; In the archaic Cypriote style.  The features show the mixed oriental style transformed by Hellenic influence; His head bears a wreath of leaves and berries permitting rows of small curls to frame his forehead.  The beard is rendered in four stiff rows of curls.  The skin tight tunic has no pleats, and the cloak which falls from the left shoulder is thrown over the left arm.  Beard slightly defective.  strong frontality and Greek 'archaic' smile",N/A,6th-5th century BCE,"The dedication of large numbers of votive statues in the temples of Cyprus began in the 7th century B.C. Such sculptures, symbols of one's devotion to the gods, represented the constant presence of the worshiper in the temple. This votary, one of many unearthed at the temple of Golgoi, was made during the archaic period, which lasted from the late 6th to early 5th century B.C. Common characteristics of archaic Greek sculpture, as shown in this figure, include the faint smile commonly referred to as an ""Archaic smile,"" almond-shaped eyes, and stiff, static pose.",Votary Figure,N/A
N/A," Tools, Equipment and Utilitarian Objects; Ceremonial Objects",Asia,China,Gift of Mr. and Mrs. Augustus L. Searle,17th-18th century,"Chinese, South and Southeast Asian Art","3 1/4 x 4 1/4 x 3 1/2 in. (8.26 x 10.8 x 8.89 cm)
1 3/8 in. (3.49 cm) (base)",N/A,Carved rhinoceros horn,N/A,N/A,Public Domain,Not on View,"carved horn libation cup; in form of a Kikyo flower, the exterior decorated in designs of carved conventionalized dragons; carved wood base",N/A,17th-18th century,"The earliest datable examples of carved rhinoceros horn are from the 8th and 9th centuries, although the Chinese had used the material pharmacologically much earlier. A solid mass of agglutinated hair, rather than a true horn, the substance was valued for its rarity and rich, warm chestnut color, which deepened with years of handling and polishing. Though called libation cups, these vessels would have been primarily used for display, and they would have been accompanied by beautifully crafted hardwood stands. The simple organic shapes favored by the Ming dynasty gave way to increasingly elaborate and detailed forms during the Ch'ing dynasty. Plant forms, ancient bronze vessel motifs and dragons figure prominently in rhinoceros horn decor, just as they do in jade and lacquer carvings.",Carved Horn Libation Cup,N/A
Artist: Henry Lewis, Paintings,Europe,Germany,Gift of E. C. Gale,1855,Paintings,"19 x 27 in. (48.26 x 68.58 cm) (canvas)
18 5/8 x 26 1/2 in. (47.31 x 67.31 cm) (sight)
28 x 36 1/8 x 4 in. (71.12 x 91.76 x 10.16 cm) (outer frame)",Signature and Date,Oil on canvas,American (born England),N/A,Public Domain,G303,Landscape.,"[Falls of St. Anthony in 1848 H. Lewis, 1855]",19th century,"From 1846 to 1848, Lewis traveled up and down the Mississippi River making sketches for a huge panorama which he completed in Cincinnati, Ohio, in 1849. Those sketches remained a creative wellspring for him, and in later years he made additional paintings based on them. He painted this view of St. Anthony Falls (in Minneapolis) while he was living in D?sseldorf, Germany.",St. Anthony Falls as It Appeared in 1848,"American (born England), 1819?1904"
N/A, Sculpture,Africa,Egypt,Gift of Miss Lily Place,c. 664 BCE - 30 CE,Art of Africa and the Americas,4 1/4 x 1 1/4 x 2 1/4in. (10.8 x 3.2 x 5.7cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,"the creator, (the potter) in a seated attitude with ram's head and wearing the Atef crown. 
hollow cast figure representing the ram-headed god Khum, the deity of the Elephantine
",N/A,8th century BCE - 1st century CE,N/A,Figure of the god Khum,N/A
N/A, Sculpture,Africa,Egypt,Gift of Miss Lily Place,c. 664 BCE - 30 CE,Art of Africa and the Americas,5 3/4 x 1 1/2 in. (14.61 x 3.81 cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,"the scribe, Shown seated, wearing a wide collar and a long skirt, holding a scroll.  Imhotep was the scribe of Memphis.  He was revered as a sage and became considered as the god of medicine during the Ptolemaic period.  Small votive statues were offered to him by those who had undergone miraculous cures.",N/A,8th century BCE - 1st century CE,N/A,Imhotep,N/A
N/A, Sculpture,Africa,Egypt,Gift of Miss Lily Place,c. 644 BCE - 30 CE,Art of Africa and the Americas,8 x 2 1/8 in. (20.32 x 5.4 cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,"statuette, of ibis-headed god, seated, wears wig and atef crown. Thoth of Hermapolis was known as the scribe of the gods and the god of wisdom.  The Ibis was sacred to him.",N/A,8th century BCE - 1st century CE,N/A,Thoth,N/A
N/A, Glass,Africa,Egypt,Gift of Miss Lily Place,1567-1085 BCE,Art of Africa and the Americas,3 1/2 in. (8.9 cm),N/A,Glass,N/A,N/A,Public Domain,Not on View,"Cosmetic vessel; turquoise, white and yellow on dark blue glass.
One handle broken off; base chipped.",N/A,16th-11th century BCE,N/A,Krateriokos,N/A
N/A, Glass,Africa,Egypt,Gift of Miss Lily Place,1567-1085 BCE,Art of Africa and the Americas,3 x 2 1/2 in. (7.6 x 6.4 cm),N/A,"Glass, coil formed",N/A,N/A,Public Domain,Not on View,Cosmetic vessel in shape of a pilgrim bottle; turquoise with yellow and white wave pattern at neck and circling body; glass.,N/A,16th-11th century BCE,N/A,Lentoid flask,N/A
N/A, Sculpture,Asia,India,Gift of Mrs. E. C. Gale,ca. 1100,"Chinese, South and Southeast Asian Art",28 in. (71.12 cm),N/A,Bronze,N/A,N/A,Public Domain,G211,"Found in a temple near Pondicherry. The figure represents cosmic activity. The significance of the gestures is as follows the drum in the right hand signifies creation; the fire in the upper left hand, destruction; the abaya (fear not) position of the lower right hand, protection; the position of the raised left foot, salvation; the foot placed on the prostrate dwarf, Apasmarapurusa, removal of illusion/ignorance.",N/A,11th or 12th century,"The god Shiva appears here as Nataraja, or Lord of the Dance. He raises his left foot aloft in a graceful dance pose, while holding destructive fire and a drum in his two upper hands. A now missing ring of fire would have encircled him. This magnificent ceremonial bronze would have been kept in the sacred central sanctum of a temple near to Pondicherry in Tamil Nadu, southeastern India. In 1929, it became the MIA?s first acquisition of South Asian art.",Shiva Nataraja (Lord of the Dance),N/A
Artist: Fra Vittoredi Galgario (Giuseppe Ghislandi), Paintings,Europe,Italy,The William Hood Dunwoody Fund,c. 1740,Paintings,48 1/8 x 34 in. (122.24 x 86.36 cm) (canvas),"Inscription

UL canvas outside the painted oval: [\'JOSEPH ALBERTUS DE AMBEIVERE CO: I.V.D. COLLEGS FILIUS NOB. FRANCISCI/FERRATIS\'] (Translated: Joseph Albertus de Ambiveri, son of Nobleman Francesco Ferrante Ambiveri.  I.V.D. Colleg(es) refers to the body of worthies to whom the portrait belonged).",Oil on canvas,Italian (Bergamo),N/A,Public Domain,Not on View,Portrait of Giuseppe Alberto de Ambiveri,N/A,18th century,N/A,"Portrait of Giuseppe Alberto de Ambiveri, Vicar of the Mines of Bergamo","Italian (Bergamo), 1675 - 1743"
N/A, Textiles,N/A,Syria,Bequest of Miss Lily Place,Date Unknown,Textiles,88 1/2 x 4 1/2 in. (224.79 x 11.43 cm),N/A,"Silk, metallic threads; tapestry weave",N/A,N/A,Public Domain,Not on View,N/A,N/A,N/A,N/A,Ecclesiastical Stole,N/A
