Address,Cardiovascular,City,County,Emergency Services,Eye,Gastrointestinal,Genitourinary,Latitude,Longitude,Musculoskeletal,Name,Nervous System,Ownership,Phone Number,Provider ID,Skin,State,Type,ZIP Code
300 E CROCKETT,0,CLEVELAND,LIBERTY,Yes,0,0,0,30.341828,-95.08553,0,CLEVELAND REGIONAL MEDICAL CTR,0,Proprietary,2815931811,450296,0,TX,Acute Care Hospitals,77327
1801 WEST 3RD STREET,50,ELK CITY,BECKHAM,Yes,459,1699,178,35.411721,-99.425514,343,GREAT PLAINS REGIONAL MEDICAL CENTER,236,Voluntary non-profit - Private,5802252511,370019,460,OK,Acute Care Hospitals,73644
850 ED HALL,5,KAUFMAN,KAUFMAN,Yes,0,448,24,32.591102,-96.316855,139,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,106,Voluntary non-profit - Private,9729327200,450292,4,TX,Acute Care Hospitals,75142
333 COTTMAN AVENUE,0,PHILADELPHIA,PHILADELPHIA,No,0,0,0,40.070945,-75.091295,0,HOSPITAL OF THE FOX CHASE CANCER CENTER,0,Voluntary non-profit - Private,2157282660,390196,0,PA,Acute Care Hospitals,19111
1253 N CANAL BLVD,1,REDMOND,DESCHUTES,Yes,0,17,6,44.288086,-121.169425,60,ST CHARLES MEDICAL CENTER - REDMOND,0,Voluntary non-profit - Private,5415488131,380040,3,OR,Acute Care Hospitals,97756
2500 NE NEFF ROAD,279,BEND,DESCHUTES,Yes,621,2010,457,44.067886,-121.269455,297,ST CHARLES MEDICAL CENTER - BEND,85,Voluntary non-profit - Private,5413824321,380047,102,OR,Acute Care Hospitals,97701
1020 THOMPSON STREET,12,JERSEY SHORE,LYCOMING,Yes,62,943,0,41.201581,-77.267336,172,JERSEY SHORE HOSPITAL,82,Voluntary non-profit - Private,5703980100,391300,5,PA,Critical Access Hospitals,17740
1604 ROCK PRAIRIE ROAD,212,COLLEGE STATION,BRAZOS,Yes,0,770,130,30.582692,-96.290204,1431,COLLEGE STATION MEDICAL CENTER,39,Proprietary,9797645151,450299,2121,TX,Acute Care Hospitals,77842
349 OLDE RIDENOUR ROAD,0,COLUMBUS,FRANKLIN,No,0,0,0,40.02711,-82.881818,0,"WOODS AT PARKSIDE,THE",0,Proprietary,6144712552,360247,0,OH,Acute Care Hospitals,43230
5325 FARAON STREET,401,SAINT JOSEPH,BUCHANAN,Yes,0,2467,810,39.77322,-94.770877,183,HEARTLAND REGIONAL MEDICAL CENTER,148,Voluntary non-profit - Private,8162716000,260006,181,MO,Acute Care Hospitals,64506
2863 STATE ROUTE 45,0,ROCK CREEK,ASHTABULA,No,0,0,0,41.672489,-80.85994,0,GLENBEIGH,0,Voluntary non-profit - Private,4405633400,360245,0,OH,Acute Care Hospitals,44084
830 ROCKFORD ST,1367,MOUNT AIRY,SURRY,Yes,998,2273,275,36.488967,-80.611891,723,NORTHERN HOSPITAL OF SURRY COUNTY,691,Government - Hospital District or Authority,3367197000,340003,112,NC,Acute Care Hospitals,27030
300 WEST TENTH AVENUE,0,COLUMBUS,FRANKLIN,Yes,0,0,0,39.995043,-83.015113,0,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,0,Government - State,6142933121,360242,0,OH,Acute Care Hospitals,43210
330 BROADWAY EAST,0,CUYAHOGA FALLS,SUMMIT,No,0,0,0,41.133328,-81.476965,0,EDWIN SHAW REHAB INSTITUTE,0,Government - Local,3304360910,360241,0,OH,Acute Care Hospitals,44221
207 OLD LEXINGTON RD BOX 789,93,THOMASVILLE,DAVIDSON,Yes,1145,1194,106,35.882637,-80.081988,353,NOVANT HEALTH THOMASVILLE MEDICAL CENTER,307,Voluntary non-profit - Private,3364722000,340085,21,NC,Acute Care Hospitals,27360
1910 SOUTH AVE,893,LA CROSSE,LA CROSSE,Yes,2977,9875,416,43.794292,-91.246788,1660,GUNDERSEN LUTHERAN MEDICAL CTR,43,Voluntary non-profit - Private,6087827300,520087,664,WI,Acute Care Hospitals,54601
17651 B HWY,6179,BOONVILLE,COOPER,Yes,48,234,78,38.959349,-92.740161,296,COOPER COUNTY MEMORIAL HOSPITAL,5,Government - Local,6608827461,260004,706,MO,Acute Care Hospitals,65233
12851 GRAND RIVER RD,0,BRIGHTON,LIVINGSTON,No,0,0,0,42.517685,-83.694265,0,BRIGHTON HOSPITAL,0,Voluntary non-profit - Private,8102271211,230279,0,MI,Acute Care Hospitals,48116
1211 WILMINGTON AVENUE,76,NEW CASTLE,LAWRENCE,Yes,243,1387,192,41.014091,-80.353979,222,JAMESON MEMORIAL HOSPITAL,255,Voluntary non-profit - Other,7246589001,390016,0,PA,Acute Care Hospitals,16105
101 MANNING DRIVE,2599,CHAPEL HILL,ORANGE,Yes,3852,13495,2778,35.905262,-79.050973,8042,UNIVERSITY OF NORTH CAROLINA HOSPITAL,2030,Government - State,9199664131,340061,24568,NC,Acute Care Hospitals,27514
10000 TELEGRAPH ROAD,18,TAYLOR,WAYNE,Yes,286,1285,226,42.233743,-83.269696,787,OAKWOOD HOSPITAL - TAYLOR,1341,Government - Hospital District or Authority,3132955253,230270,1088,MI,Acute Care Hospitals,48180
708 S 1ST ST,0,MULESHOE,BAILEY,Yes,0,0,0,34.221286,-102.728295,0,MULESHOE AREA MEDICAL CENTER,0,Government - Hospital District or Authority,8062724524,451372,0,TX,Critical Access Hospitals,79347
300 PASTEUR DRIVE,0,STANFORD,SANTA CLARA,Yes,0,0,0,37.433173,-122.175617,0,STANFORD HOSPITAL,0,Voluntary non-profit - Private,6507235708,50441,0,CA,Acute Care Hospitals,94305
4201 ST ANTOINE ST - 3M,456,DETROIT,WAYNE,Yes,75,1306,1488,42.352966,-83.054413,5105,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,855,Proprietary,3137453104,230273,7371,MI,Acute Care Hospitals,48201
100 FAIRFIELD DRIVE,179,SENECA,VENANGO,Yes,313,1623,1182,41.361025,-79.700618,975,UPMC NORTHWEST,179,Voluntary non-profit - Other,8146767600,390091,1090,PA,Acute Care Hospitals,16346
4300 WEST SEVENTH STREET,0,LITTLE ROCK,PULASKI,No,0,0,0,34.745742,-92.320598,0,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,0,Government Federal,5012571000,04010F,0,AR,ACUTE CARE - VETERANS ADMINISTRATION,72205
271 PERKINS ROAD,45,CLARION,CLARION,Yes,56,3240,494,41.190173,-79.399338,259,CLARION HOSPITAL,12,Voluntary non-profit - Other,8142269500,390093,48,PA,Acute Care Hospitals,16214
333 MERCY AVENUE,0,MERCED,MERCED,Yes,0,0,0,37.339977,-120.467296,0,MERCY MEDICAL CENTER,0,Voluntary non-profit - Private,2095645000,50444,0,CA,Acute Care Hospitals,95340
100 HOSPITAL DRIVE,0,MONTROSE,SUSQUEHANNA,Yes,0,284,3,41.83785,-75.837667,77,ENDLESS MOUNTAINS HEALTH SYSTEMS,0,Voluntary non-profit - Private,5702783801,391306,2,PA,Critical Access Hospitals,18801
1001 SCHNEIDER DRIVE,0,MALVERN,HOT SPRING,Yes,0,0,0,34.360145,-92.785549,0,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,0,Voluntary non-profit - Private,5013374911,40076,0,AR,Acute Care Hospitals,72104
100 W 16TH STREET,0,EUREKA,GREENWOOD,Yes,0,0,0,37.835332,-96.294194,0,GREENWOOD COUNTY HOSPITAL,0,Government - Local,6205837451,171339,0,KS,Critical Access Hospitals,67045
1400 BRADEN STREET,0,JACKSONVILLE,PULASKI,Yes,0,0,0,34.873582,-92.124839,0,NORTH METRO MEDICAL CENTER,0,Voluntary non-profit - Private,5019857000,40074,0,AR,Acute Care Hospitals,72076
200 HOSPITAL DRIVE,3,MYERSDALE,SOMERSET,Yes,71,351,1,39.808721,-79.025616,169,MEYERSDALE COMMUNITY HOSPITAL,0,Government - Local,8146345911,391302,501,PA,Critical Access Hospitals,15552
1703 NORTH BUERKLE ROAD,0,STUTTGART,ARKANSAS,Yes,0,0,0,34.517642,-91.559316,0,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,0,Proprietary,8706733511,40072,0,AR,Acute Care Hospitals,72160
1600 WEST 40TH AVENUE,0,PINE BLUFF,JEFFERSON,Yes,0,0,0,34.189055,-92.018179,0,JEFFERSON REGIONAL MEDICAL CENTER,0,Voluntary non-profit - Private,8705417100,40071,0,AR,Acute Care Hospitals,71603
LANGHORNE-NEWTOWN RD,386,LANGHORNE,BUCKS,Yes,364,1545,372,40.202425,-74.929624,1646,ST MARY MEDICAL CENTER,2942,Voluntary non-profit - Church,2157502003,390258,475,PA,Acute Care Hospitals,19047
933 EAST PIERCE STREET,170,COUNCIL BLUFFS,POTTAWATTAMIE,Yes,36,2132,205,41.267958,-95.834764,481,METHODIST JENNIE EDMUNDSON,1051,Voluntary non-profit - Private,7123966000,160047,35,IA,Acute Care Hospitals,51503
500 UNIVERSITY DRIVE,1706,HERSHEY,DAUPHIN,Yes,1033,4219,3535,40.264042,-76.676725,6753,MILTON S HERSHEY MEDICAL CENTER,1390,Voluntary non-profit - Other,7175318521,390256,15910,PA,Acute Care Hospitals,17033
1026 A AVE NE,17,CEDAR RAPIDS,LINN,Yes,0,22,12,41.985447,-91.660441,18,ST LUKES HOSPITAL,5,Voluntary non-profit - Private,3193697211,160045,18,IA,Acute Care Hospitals,52402
619 SOUTH CLARK AVENUE,0,LYONS,RICE,No,0,0,0,38.341049,-98.216178,0,HOSPITAL DISTRICT #1 OF RICE COUNTY,0,Government - Hospital District or Authority,6202575173,171330,0,KS,Critical Access Hospitals,67554
711 GENN DRIVE,0,WAMEGO,POTTAWATOMIE,Yes,0,0,0,39.204927,-96.31914,0,WAMEGO HEALTH CENTER,0,Voluntary non-profit - Private,7854587201,171337,0,KS,Critical Access Hospitals,66547
312 CUSTER STREET,0,NESS CITY,NESS,Yes,0,0,0,38.452794,-99.906514,0,NESS COUNTY HOSPITAL DISTRICT #2,0,Government - Local,7857982291,171336,0,KS,Critical Access Hospitals,67560
1006 S JACKSON,0,HUGOTON,STEVENS,Yes,0,0,0,37.171518,-101.349763,0,STEVENS COUNTY HOSPITAL,0,Government - Local,6205446178,171335,0,KS,Critical Access Hospitals,67951
1910 MALVERN AVENUE,0,HOT SPRINGS,GARLAND,Yes,0,0,0,34.486004,-93.035211,0,NATIONAL PARK MEDICAL CENTER,0,Proprietary,5013211000,40078,0,AR,Acute Care Hospitals,71901
1924 ALCOA HIGHWAY,1660,KNOXVILLE,KNOX,Yes,93,9056,1675,35.934647,-83.948269,2917,UNIVERSITY OF TN MEMORIAL HOSPITAL,1937,Voluntary non-profit - Private,8655449000,440015,2286,TN,Acute Care Hospitals,37920
401 SEWELL DR,5,SPARTA,WHITE,Yes,0,447,283,35.948927,-85.478253,583,HIGHLANDS MEDICAL CENTER,0,Proprietary,9317389211,440192,489,TN,Acute Care Hospitals,38583
1411 BADDOUR PARKWAY,291,LEBANON,WILSON,Yes,0,168,98,36.220691,-86.327312,23,UNIVERSITY MEDICAL CENTER,63,Voluntary non-profit - Private,6154448262,440193,11,TN,Acute Care Hospitals,37087
355 NEW SHACKLE ISLAND RD,223,HENDERSONVILLE,SUMNER,Yes,0,4275,261,36.324427,-86.623044,468,TRISTAR HENDERSONVILLE MEDICAL CENTER,428,Voluntary non-profit - Other,6153381000,440194,71,TN,Acute Care Hospitals,37075
391 WALLACE RD,131,NASHVILLE,DAVIDSON,Yes,0,3511,193,36.076453,-86.722013,678,TRISTAR SOUTHERN HILLS MEDICAL CENTER,72,Proprietary,6157814000,440197,1015,TN,Acute Care Hospitals,37211
1401 EAST EIGHT STREET,0,WESLACO,HIDALGO,Yes,0,13,112,26.152862,-97.977725,352,KNAPP MEDICAL CENTER,11,Voluntary non-profit - Private,9569688567,450128,0,TX,Acute Care Hospitals,78596
8303 DODGE ST,780,OMAHA,DOUGLAS,Yes,755,2648,1424,41.257969,-96.041644,1492,THE NEBRASKA METHODIST HOSPITAL,1800,Voluntary non-profit - Private,4023544000,280040,133,NE,Acute Care Hospitals,68114
130 WEST RAVINE ROAD,510,KINGSPORT,SULLIVAN,Yes,2,1757,540,36.554013,-82.55483,480,WELLMONT HOLSTON VALLEY MEDICAL CENTER,502,Voluntary non-profit - Private,4232244000,440017,111,TN,Acute Care Hospitals,37662
16 HOSPITAL ROAD,6,PLYMOUTH,GRAFTON,Yes,116,1116,37,43.757952,-71.6949,106,SPEARE MEMORIAL HOSPITAL,5,Voluntary non-profit - Private,6035361120,301311,0,NH,Critical Access Hospitals,3264
111 DRIVING PARK AVENUE,44,NEWARK,WAYNE,Yes,139,1448,412,43.060661,-77.100722,558,NEWARK-WAYNE COMMUNITY HOSPITAL,3,Voluntary non-profit - Private,3153322022,330030,19,NY,Acute Care Hospitals,14513
703 N MCEWAN ST,53,CLARE,CLARE,Yes,388,1076,62,43.820723,-84.7684,224,MIDMICHIGAN MEDICAL CENTER-CLARE,0,Voluntary non-profit - Other,9898025000,230180,18,MI,Acute Care Hospitals,48617
525 EAST MARKET STREET,216,AKRON,SUMMIT,Yes,43,1091,1086,41.080189,-81.500489,52,SUMMA HEALTH SYSTEMS HOSPITALS,2,Voluntary non-profit - Private,3303753000,360020,3460,OH,Acute Care Hospitals,44309
400 WABASH AVENUE,1398,AKRON,SUMMIT,Yes,0,169,4723,41.078279,-81.532324,923,AKRON GENERAL MEDICAL CENTER,561,Voluntary non-profit - Private,3303446000,360027,3489,OH,Acute Care Hospitals,44307
240 SOUTH MAIN STREET,0,WOLFEBORO,CARROLL,Yes,0,0,0,43.580491,-71.200762,0,HUGGINS HOSPITAL,0,Voluntary non-profit - Private,6035697500,301312,0,NH,Critical Access Hospitals,3894
1111 HAYES AVENUE,1126,SANDUSKY,ERIE,Yes,160,4564,439,41.446394,-82.708703,892,FIRELANDS REGIONAL MEDICAL CENTER,1422,Voluntary non-profit - Private,4195577400,360025,477,OH,Acute Care Hospitals,44870
907 E LAMAR ALEXANDER PARKWAY,139,MARYVILLE,BLOUNT,Yes,0,397,362,35.755882,-83.958076,66,BLOUNT MEMORIAL HOSPITAL,32,Government - Local,8659837211,440011,9,TN,Acute Care Hospitals,37804
950 WEST WOOSTER STREET,83,BOWLING GREEN,WOOD,Yes,450,1115,526,41.375763,-83.665562,358,WOOD COUNTY HOSPITAL,0,Voluntary non-profit - Private,4193548900,360029,65,OH,Acute Care Hospitals,43402
4101 S. 4TH STREET,0,LEAVENWORTH,LEAVENWORTH,No,0,0,0,39.267344,-94.899871,0,VA EASTERN KANSAS HEALTHCARE SYSTEM,0,Government Federal,9136822000,17006F,0,KS,ACUTE CARE - VETERANS ADMINISTRATION,66048
3333 SPRINGHILL DRIVE,0,NORTH LITTLE ROCK,PULASKI,Yes,0,0,0,34.78377,-92.222052,0,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,0,Voluntary non-profit - Other,5012023000,40036,0,AR,Acute Care Hospitals,72117
2000 SUTTER PLACE,0,DAVIS,YOLO,Yes,0,0,0,38.562764,-121.772075,0,SUTTER DAVIS HOSPITAL,0,Proprietary,5307566440,50537,0,CA,Acute Care Hospitals,95616
1945 RTE 33,1257,NEPTUNE,MONMOUTH,Yes,168,2600,350,40.207958,-74.041691,293,JERSEY SHORE UNIVERSITY MEDICAL CENTER,119,Voluntary non-profit - Private,7327764900,310073,223,NJ,Acute Care Hospitals,7754
47-111 MONROE STREET,0,INDIO,RIVERSIDE,Yes,0,0,0,33.695901,-116.233888,0,"JOHN F KENNEDY MEMORIAL HOSPITAL, INC",0,Proprietary,7603476191,50534,0,CA,Acute Care Hospitals,92201
41870 GARSTIN DR,0,BIG BEAR LAKE,SAN BERNARDINO,Yes,0,0,0,34.246002,-116.889039,0,BEAR VALLEY COMMUNITY HOSPITAL,0,Government - Hospital District or Authority,9098666501,50618,0,CA,Acute Care Hospitals,92315
325 EAST H STREET,0,IRON MOUNTAIN,DICKINSON,No,0,0,0,45.811458,-88.063463,0,IRON MOUNTAIN MI VA MEDICAL CENTER,0,Government Federal,9067743300,23005F,0,MI,ACUTE CARE - VETERANS ADMINISTRATION,49801
2555 JIMMY JOHNSON BLVD,345,PORT ARTHUR,JEFFERSON,Yes,0,4294,393,29.935704,-93.989004,890,THE MEDICAL CENTER OF SOUTHEAST TEXAS,1556,Proprietary,4098535900,450518,1401,TX,Acute Care Hospitals,77640
601 E 14TH ST,205,SEDALIA,PETTIS,Yes,0,1122,798,38.699072,-93.222737,631,BOTHWELL REGIONAL HEALTH CENTER,950,Government - Local,6608268833,260009,57,MO,Acute Care Hospitals,65302
1600 11TH STREET,393,WICHITA FALLS,WICHITA,Yes,0,1015,375,33.902814,-98.501605,1139,UNITED REGIONAL HEALTH CARE SYSTEM,84,Voluntary non-profit - Private,9407643055,450010,2089,TX,Acute Care Hospitals,76301
750 NORTH 40TH STREET,0,PHOENIX,MARICOPA,No,0,0,0,33.456682,-111.996313,0,OASIS HOSPITAL,0,Voluntary non-profit - Private,6027977700,30131,0,AZ,Acute Care Hospitals,85008
37000 NORTH GANTZEL ROAD,0,SAN TAN VALLEY,PINAL,Yes,0,0,0,33.214494,-111.565633,0,BANNER IRONWOOD MEDICAL CENTER,0,Voluntary non-profit - Private,4803944030,30130,0,AZ,Acute Care Hospitals,85140
4545 NORTH HUNT HIGHWAY,0,FLORENCE,PINAL,Yes,0,0,0,33.073186,-111.485889,0,"FLORENCE HOSPITAL AT ANTHEM, LLC",0,Proprietary,5208683333,30132,0,AZ,Acute Care Hospitals,85132
2050 WEST SOUTHERN AVENUE,0,APACHE JUNCTION,PINAL,Yes,0,0,0,33.394227,-111.567158,0,BANNER GOLDFIELD MEDICAL CENTER,0,Voluntary non-profit - Other,4802373200,30134,0,AZ,Acute Care Hospitals,85120
475 PROGRESS BLVD,0,SILER CITY,CHATHAM,Yes,0,0,0,35.723057,-79.420858,0,CHATHAM HOSPITAL INC,0,Voluntary non-profit - Private,9196632113,341311,0,NC,Critical Access Hospitals,27344
815 N VIRGINIA STREET,3,PORT LAVACA,CALHOUN,Yes,36,29,660,28.620997,-96.6316,196,MEMORIAL MEDICAL CENTER,6,Government - Local,3615526713,451356,170,TX,Critical Access Hospitals,77979
415 N MAIN STREET,0,ULYSSES,GRANT,Yes,0,37,0,37.583856,-101.358023,0,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,0,Government - Local,6203561266,170110,4,KS,Acute Care Hospitals,67880
94 OLD SHORT HILLS ROAD,1143,LIVINGSTON,ESSEX,Yes,66,3949,5385,40.763129,-74.303823,1021,SAINT BARNABAS MEDICAL CENTER,1103,Voluntary non-profit - Other,9733225000,310076,2398,NJ,Acute Care Hospitals,7039
210 EAST WATER ST,0,BELHAVEN,BEAUFORT,Yes,0,0,0,35.538017,-76.622765,0,VIDANT PUNGO HOSPITAL,0,Voluntary non-profit - Private,2529432111,341310,0,NC,Critical Access Hospitals,27810
7500 SOUTH 91ST ST,298,LINCOLN,LANCASTER,No,0,6,0,40.736566,-96.59332,0,NEBRASKA HEART HOSPITAL,0,Proprietary,4023283000,280128,2,NE,Acute Care Hospitals,68526
201 SETON PARKWAY,216,ROUND ROCK,WILLIAMSON,Yes,1,290,151,30.567727,-97.651114,293,SETON MEDICAL CENTER WILLIAMSON,12,Voluntary non-profit - Private,5123240000,670041,863,TX,Acute Care Hospitals,78664
3501 SONCY RD SUITE 118,16,AMARILLO,RANDALL,Yes,424,2,2,35.173901,-101.93665,518,NORTHWEST TEXAS SURGERY CENTER,1377,Proprietary,8063597999,450796,37,TX,Acute Care Hospitals,79109
900 ROUND VALLEY DRIVE,31,PARK CITY,SUMMIT,Yes,31,749,66,40.688239,-111.469104,1130,PARK CITY MEDICAL CENTER,417,Proprietary,4356587000,460057,15,UT,Acute Care Hospitals,84060
501 SOUTH POPLAR STREET,0,ELIZABETHTOWN,BLADEN,Yes,288,150,36,34.622728,-78.608031,0,CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,0,Voluntary non-profit - Private,9108625100,341315,0,NC,Critical Access Hospitals,28337
801 W INTERSTATE 20,129,ARLINGTON,TARRANT,Yes,0,533,1211,32.678817,-97.117943,271,USMD HOSPITAL AT ARLINGTON L P,1025,Physician,8174723400,450872,11,TX,Acute Care Hospitals,76017
3003 BEE CAVES ROAD,18,AUSTIN,TRAVIS,Yes,0,15,108,30.271092,-97.7959,635,ARISE AUSTIN MEDICAL CENTER,6,Physician,5123479888,450871,212,TX,Acute Care Hospitals,78746
4810 NORTH LOOP 289,2904,LUBBOCK,LUBBOCK,Yes,0,5,18,33.603099,-101.915866,0,LUBBOCK HEART HOSPITAL LP,0,Government - Local,8066877777,450876,0,TX,Acute Care Hospitals,79416
190 HOSPITAL DRIVE,0,HIGHLANDS,MACON,Yes,0,0,0,35.085886,-83.187267,0,HIGHLANDS CASHIERS HOSPITAL INC,0,Voluntary non-profit - Private,8285261200,341316,0,NC,Critical Access Hospitals,28741
400 WEST INTERSTATE 635 SUITE 101,2,IRVING,DALLAS,Yes,1114,32,86,32.912326,-96.951522,152,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,0,Proprietary,9728684000,450874,2,TX,Acute Care Hospitals,75063
6819 PLUM CREEK,18,AMARILLO,POTTER,Yes,0,2,22,35.210506,-101.912762,2175,QUAIL CREEK SURGICAL HOSPITAL,13,Proprietary,8063546100,450875,5,TX,Acute Care Hospitals,79124
1570 NC 8 & 89 HWY NORTH,0,DANBURY,STOKES,Yes,0,0,0,36.393488,-80.195586,0,PIONEER COMMUNITY HOSPITAL OF STOKES,0,Proprietary,3365932831,341317,0,NC,Critical Access Hospitals,27016
825 CHALKSTONE AVENUE,233,PROVIDENCE,PROVIDENCE,Yes,378,5306,222,41.834544,-71.435321,789,ROGER WILLIAMS MEDICAL CENTER,45,Voluntary non-profit - Private,4014562000,410004,186,RI,Acute Care Hospitals,2908
2986 KATE BOND RD,97,BARTLETT,SHELBY,Yes,0,754,325,35.207129,-89.800593,687,SAINT FRANCIS BARTLETT MEDICAL CENTER,6,Proprietary,9018207050,440228,1073,TN,Acute Care Hospitals,38133
3601 SOUTH SIXTH AVENUE,0,TUCSON,PIMA,No,0,0,0,32.181291,-110.965139,0,VA S. ARIZONA HEALTHCARE SYSTEM,0,Government Federal,5206291821,03013F,0,AZ,ACUTE CARE - VETERANS ADMINISTRATION,85723
425 HOME STREET,0,GEORGETOWN,BROWN,Yes,192,283,44,38.858821,-83.897918,232,SOUTHWEST REGIONAL MEDICAL CENTER,0,Proprietary,5133787800,360116,57,OH,Acute Care Hospitals,45121
3741 WEST 12600 SOUTH,74,RIVERTON,SALT LAKE,Yes,49,3156,167,40.522166,-111.982777,371,RIVERTON HOSPITAL,22,Voluntary non-profit - Private,8012854000,460058,21,UT,Acute Care Hospitals,84065
835 SWEITZER STREET,34,GREENVILLE,DARKE,Yes,70,1023,81,40.088679,-84.634575,176,WAYNE HOSPITAL,1,Voluntary non-profit - Private,9375475722,360044,30,OH,Acute Care Hospitals,45331
2213 CHERRY STREET,147,TOLEDO,LUCAS,Yes,4,1431,549,41.668096,-83.542746,349,MERCY ST VINCENT MEDICAL CENTER,1,Voluntary non-profit - Church,4192513232,360112,70,OH,Acute Care Hospitals,43608
2949 WEST FRONT STREET,28,RICHLANDS,TAZEWELL,Yes,0,88,11,37.092516,-81.778182,149,CLINCH VALLEY MEDICAL CENTER,48,Proprietary,2765966000,490060,613,VA,Acute Care Hospitals,24641
3300 RENNER DRIVE,0,FORTUNA,HUMBOLDT,Yes,0,0,0,40.58232,-124.136518,0,REDWOOD MEMORIAL HOSPITAL,0,Voluntary non-profit - Private,7074458121,51318,0,CA,Critical Access Hospitals,95540
914 PINE STREET,0,MOUNT SHASTA,SISKIYOU,Yes,0,0,0,41.318661,-122.321199,0,MERCY MEDICAL CENTER MT SHASTA,0,Voluntary non-profit - Other,5309266111,51319,0,CA,Critical Access Hospitals,96067
2799 W GRAND BLVD,2692,DETROIT,WAYNE,Yes,10226,22664,3430,42.367204,-83.085043,11106,HENRY FORD HOSPITAL,4751,Voluntary non-profit - Private,3139162600,230053,33710,MI,Acute Care Hospitals,48202
420 W MAGNETIC,800,MARQUETTE,MARQUETTE,Yes,711,4006,907,46.553645,-87.399119,808,MARQUETTE GENERAL HOSPITAL,2396,Government - Local,9062289440,230054,73,MI,Acute Care Hospitals,49855
1721 S STEPHENSON AVE,166,IRON MOUNTAIN,DICKINSON,Yes,50,4233,410,45.809411,-88.044222,728,DICKINSON COUNTY MEMORIAL HOSPITAL,0,Government - Local,9067741313,230055,99,MI,Acute Care Hospitals,49801
1 MADRONE STREET,0,WILLITS,MENDOCINO,Yes,0,0,0,39.400351,-123.350915,0,FRANK R HOWARD MEMORIAL HOSPITAL,0,Voluntary non-profit - Church,7074596801,51310,0,CA,Critical Access Hospitals,95490
240 SPRUCE STREET,0,GRIDLEY,BUTTE,Yes,0,0,0,39.367693,-121.689559,0,BIGGS GRIDLEY MEMORIAL HOSPITAL,0,Voluntary non-profit - Private,5308465671,51311,0,CA,Critical Access Hospitals,95948
29101 HOSPITAL ROAD,0,LAKE ARROWHEAD,SAN BERNARDINO,Yes,0,0,0,34.265453,-117.168506,0,MOUNTAINS COMMUNITY HOSPITAL,0,Government - Hospital District or Authority,9093363651,51312,0,CA,Critical Access Hospitals,92352
6412 LAUREL AVE,0,LAKE ISABELLA,KERN,Yes,0,0,0,35.635365,-118.406366,0,KERN VALLEY HEALTHCARE DISTRICT,0,Government - Hospital District or Authority,7603792681,51314,0,CA,Critical Access Hospitals,93240
1 ABRAHMS BOULEVARD,0,WEST HARTFORD,HARTFORD,No,0,0,0,41.802627,-72.728296,0,HEBREW HOME AND HOSPITAL INC,0,Voluntary non-profit - Private,8605233800,70040,0,CT,Acute Care Hospitals,6117
444 BRUCE STREET,0,YREKA,SISKIYOU,Yes,0,0,0,41.719495,-122.645804,0,FAIRCHILD MEDICAL CENTER,0,Voluntary non-profit - Other,5308424121,51316,0,CA,Critical Access Hospitals,96097
15630 18TH AVE - HWY 53,0,CLEARLAKE,LAKE,Yes,0,0,0,38.958231,-122.626373,0,ST HELENA HOSPITAL-CLEARLAKE,0,Voluntary non-profit - Church,7079946486,51317,0,CA,Critical Access Hospitals,95422
315 WEST 15TH STREET,33,LIBERAL,SEWARD,Yes,202,587,26,37.054222,-100.925787,80,SOUTHWEST MEDICAL CENTER,90,Government - Local,6206296291,170068,31,KS,Acute Care Hospitals,67901
515 QUARTER STREET,0,GLADWIN,GLADWIN,Yes,0,0,0,43.976605,-84.495376,0,MIDMICHIGAN MEDICAL CENTER-GLADWIN,0,Voluntary non-profit - Private,9894269286,231325,0,MI,Critical Access Hospitals,48624
800 S FILLMORE ST,0,OSCEOLA,CLARKE,Yes,0,0,0,41.025958,-93.768483,0,CLARKE COUNTY HOSPITAL,0,Government - Local,6413422184,161348,0,IA,Critical Access Hospitals,50213
1818 N MEADE ST,18105,APPLETON,OUTAGAMIE,Yes,0,34358,4984,44.278596,-88.395509,4029,APPLETON MEDICAL CTR,500,Voluntary non-profit - Private,9207314101,520160,4440,WI,Acute Care Hospitals,54911
1500 S MAIN STREET,0,EATON RAPIDS,EATON,Yes,0,0,0,42.496077,-84.657578,0,EATON RAPIDS MEDICAL CENTER,0,Voluntary non-profit - Private,5176632671,231324,0,MI,Critical Access Hospitals,48827
744 WEST 9TH STREET,892,TULSA,OSAGE,Yes,145,1693,78,36.146777,-95.99935,1429,OKLAHOMA STATE UNIVERSITY MEDICAL CENTER,41,Government - Local,9185872561,370078,773,OK,Acute Care Hospitals,74127
