age,category,citizenship,company.name,company.type,country code,founded,from emerging,gdp,gender,industry,inherited,name,rank,region,relationship,sector,was founder,was political,wealth.type,worth in billions,year
-1,Non-Traded Sectors,Brazil,Algar Group,new,BRA,1929,True,854000000000.0,male,Media,True,Luiz Alberto Garcia,323,Latin America,relation,media,True,False,inherited,1.2,1996
52,Non-Traded Sectors,Germany,Quelle Versand,new,DEU,1927,True,2500000000000.0,female,"Retail, Restaurant",True,Madeleine Schickedanz,62,Europe,relation,retail,True,False,inherited,3.8,1996
82,Financial,Denmark,Maersk Group,new,DNK,1905,True,188000000000.0,male,Diversified financial,True,Maersk McKinney Moller,140,Europe,relation,shipping,True,False,inherited,2.5,1996
-1,Financial,Philippines,C&P Homes,new,PHL,1975,True,82848194406.0,male,Real Estate,True,Manuel Villar,198,East Asia,founder,real estate,True,False,self-made finance,2.0,1996
76,Financial,United States,Cargill,new,USA,1865,True,8100000000000.0,female,Diversified financial,True,Margaret Cargill,275,North America,relation,food processing/commodities,True,False,inherited,1.5,1996
32,Traded Sectors,Mexico,Grupo Modelo,new,MEX,1925,True,397000000000.0,female,Consumer,True,Maria Asuncion Aramburuzabala,284,Latin America,relation,beer,True,False,inherited,1.4,1996
60,Non-Traded Sectors,United States,Ingram Industries,new,USA,1946,True,8100000000000.0,female,"Retail, Restaurant",True,Martha Ingram,206,North America,relation,transportation,True,False,inherited,2.0,1996
-1,Financial,Switzerland,BZ Bank,new,CHE,1985,True,330000000000.0,male,Money Management,True,Martin Ebner,269,Europe,founder,banking,True,False,self-made finance,1.5,1996
-1,Non-Traded Sectors,Liechtenstein,Hilti,new,LIE,1941,True,2504012993.0,male,Constrution,True,Martin Hilti,263,Europe,founder,tools,True,False,founder non-finance,1.5,1996
70,Resource Related,United States,Davis Petroleum,new,USA,1945,True,8100000000000.0,male,Energy,True,Marvin Davis,168,North America,relation,oil,True,False,inherited,2.2,1996
46,Traded Sectors,United States,Campbell Soup,aquired,USA,1869,True,8100000000000.0,female,Consumer,True,Mary Alice Dorrance Malone,214,North America,relation,soup,True,False,inherited,1.9,1996
-1,New Sectors,Japan,Square,subsidiary,JPN,1983,True,4710000000000.0,male,Technology-Computer,True,Masafumi Miyamoto,310,East Asia,founder,video games,True,False,founder non-finance,1.3,1996
-1,Non-Traded Sectors,Japan,,,JPN,0,True,4710000000000.0,male,Media,True,Masahiro Ohga,176,East Asia,,,True,False,,2.1,1996
-1,Financial,Japan,Sanyo Shinpan,new,JPN,1946,True,4710000000000.0,male,Money Management,True,Masakazu Shiiki,329,East Asia,founder,finace,True,False,self-made finance,1.2,1996
-1,Financial,Japan,Kyo-Ya Company,new,JPN,1960,True,4710000000000.0,male,Real Estate,True,Masakuni Osano,233,East Asia,president,real estate,True,False,self-made finance,1.7,1996
71,Non-Traded Sectors,Japan,Ito-Yokado,new,JPN,1961,True,4710000000000.0,male,"Retail, Restaurant",True,Masatoshi Ito,54,East Asia,founder,retail,True,False,founder non-finance,4.0,1996
38,Non-Traded Sectors,Japan,Softbank,new,JPN,1981,True,4710000000000.0,male,Media,True,Masayoshi Son,44,East Asia,founder/CEO,technology,True,False,founder non-finance,4.6,1996
70,Financial,United States,AIG,new,USA,1919,True,8100000000000.0,male,Money Management,True,Maurice Greenberg,293,North America,Chairman and Chief Executive Officer,insurance,True,False,self-made finance,1.4,1996
-1,New Sectors,Germany,Merck,aquired,DEU,1668,True,2500000000000.0,,Technology-Medical,True,Merck family,34,Europe,,pharmaceuticals,True,False,inherited,5.0,1996
-1,Non-Traded Sectors,Germany,Metro AG,new,DEU,1923,True,2500000000000.0,male,"Retail, Restaurant",True,Michael and Rainer Schmidt-Ruthenbeck,89,Europe,relation,retail,True,False,inherited,3.1,1996
53,Non-Traded Sectors,United States,Bloomberg, new,USA,1981,True,8100000000000.0,male,Media,True,Michael Bloomberg,412,North America,founder, finance,True,False,founder non-finance,1.0,1996
-1,Trucking,Canada,Laidlaw Transport,aquired,CAN,1924,True,627000000000.0,male,services,True,Michael DeGroote,324,North America,owner,trucking,True,False,founder non-finance,1.2,1996
31,New Sectors,United States,Dell,new,USA,1984,True,8100000000000.0,male,Technology-Computer,True,Michael Dell,374,North America,founder,technology,True,False,founder non-finance,1.1,1996
55,Financial,Hong Kong,CLP Holdings,new,HKG,1890,True,160000000000.0,male,Money Management,True,Michael Kadoorie,130,East Asia,relation,utilities,True,False,inherited,2.5,1996
52,Non-Traded Sectors,Germany,Otto Group,new,DEU,1950,True,2500000000000.0,male,"Retail, Restaurant",True,Michael Otto,27,Europe,relation,mail order retail,True,False,inherited,5.2,1996
-1,Financial,France,Lazard,new,FRA,1848,True,1610000000000.0,male,Money Management,True,Michel David-Weill,276,Europe,relation,banking,True,False,inherited,1.4,1996
-1,Traded Sectors,United States,Continental Grain Company,new,USA,1813,True,8100000000000.0,male,Consumer,True,Michel Fribourg,184,North America,relation,comodities,True,False,inherited,2.1,1996
69,Traded Sectors,Italy,Ferrero spa,new,ITA,1946,True,1310000000000.0,male,Consumer,True,Michele Ferrero,154,Europe,relation,chocolates,True,False,executive,2.3,1996
46,Non-Traded Sectors,United States,Carnival Corporation,new,USA,1972,True,8100000000000.0,male,"Retail, Restaurant",True,Micky Arison,241,North America,relation,cruises,True,False,inherited,1.7,1996
-1,Financial,Indonesia,Lippo Group,new,IDN,1948,True,227000000000.0,male,Real Estate,True,Mochtar Riady,306,East Asia,founder,banking,True,False,self-made finance,1.3,1996
-1,Financial,Saudi Arabia,National Comercial bank of Saudi Arabia,new,SAU,1953,True,158000000000.0,male,Money Management,True,Mohamed Salim Bin Mahfouz,36,Middle East/North Africa,relation,banking,True,True,inherited,5.0,1996
-1,Non-Traded Sectors,Saudi Arabia,Abdul Latif Jameel Co. Ltd,new,SAU,1945,True,158000000000.0,male,"Retail, Restaurant",True,Mohammed Jameel,139,Middle East/North Africa,relation,auto dealerships,True,False,inherited,2.5,1996
-1,Non-Traded Sectors,United Kingdom,Littlewoods,new,GBR,1932,True,1310000000000.0,,"Retail, Restaurant",True,Moores family,227,Europe,,retail,True,False,inherited,1.8,1996
65,Financial,Turkey,Koc Holding,new,TUR,1926,True,181000000000.0,male,Money Management,True,Mustafa Rahmi Koc,56,Middle East/North Africa,relation,"energy, retail, manufacturing",True,False,inherited,4.0,1996
-1,Financial,United Kingdom,?N M Rothschild & Sons,new,GBR,1811,True,1310000000000.0,male,Money Management,True,Nathaniel Rothschild,387,Europe,relation,banking,True,False,inherited,1.0,1996
50,Resource Related,South Africa,De Beers,new ,ZAF,1888,True,148000000000.0,male,Mining and metals,True,Nicky Oppenheimer,141,Sub-Saharan Africa,relation,diamonds,True,False,inherited,2.5,1996
-1,Financial,Hong Kong,Chinachem Group,new,HKG,1960,True,160000000000.0,female,Real Estate,True,Nina Wang,80,East Asia,relation,chemicals,True,False,inherited,3.3,1996
-1,Non-Traded Sectors,Brazil,Odebrecht Group,new,BRA,1944,True,854000000000.0,male,Constrution,True,Norberto Odebrecht,385,Latin America,founder,construction,True,False,founder non-finance,1.0,1996
-1,New Sectors,Switzerland,F. Hoffmann-La Roche,new,CHE,1896,True,330000000000.0,,Technology-Medical,True,Oeri Hoffman and Sacher,3,Europe,,pharmaceuticals,True,False,inherited,13.1,1996
-1,Financial,Japan,,,JPN,0,True,4710000000000.0,,Real Estate,True,Otani Family,394,East Asia,,,True,False,,1.0,1996
72,Non-Traded Sectors,Germany,Metro AG,new,DEU,1963,True,2500000000000.0,male,"Retail, Restaurant",True,Otto Beisheim,61,Europe,founder,groceries,True,False,founder non-finance,3.8,1996
43,New Sectors,United States,Microsoft,new,USA,1975,True,8100000000000.0,male,Technology-Computer,True,Paul Allen,13,North America,founder,technology,True,False,founder non-finance,7.5,1996
-1,0,United States,Mellon Bank,new,USA,1869,True,8100000000000.0,male,Other,True,Paul Mellon,344,North America,relation,banking,True,False,inherited,1.2,1996
-1,Non-Traded Sectors,France,Promodes,new,FRA,1961,True,1610000000000.0,male,"Retail, Restaurant",True,Paul-Louis Halley,243,Europe,relation,retail,True,False,executive,1.6,1996
-1,Non-Traded Sectors,United States,Levi Strauss & co,new,USA,1853,True,8100000000000.0,male,"Retail, Restaurant",True,Peter Haas Jr,347,North America,relation,jeans,True,False,inherited,1.2,1996
-1,Non-Traded Sectors,United States,Levi Strauss & co,new,USA,1853,True,8100000000000.0,male,"Retail, Restaurant",True,Peter Haas Sr,93,North America,relation,jeans,True,False,inherited,3.1,1996
-1,Non-Traded Sectors,Greece,Ceres Hellenic,new,GRC,1949,True,147000000000.0,male,"Retail, Restaurant",True,Peter Livanos,129,Europe,relation,shipping,True,False,inherited,2.5,1996
55,New Sectors,United States,Boston Scientific,new,USA,1979,True,8100000000000.0,male,Technology-Medical,True,Peter Nicholas,253,North America,founder,medical devices,True,False,founder non-finance,1.6,1996
50,Financial,Hong Kong,Worldwide Shipping Group,new,HKG,1955,True,160000000000.0,male,Real Estate,True,Peter Woo,191,East Asia,relation,real estate,True,False,inherited,2.0,1996
-1,Traded Sectors,France,Peugeot,new,FRA,1810,True,1610000000000.0,,Consumer,True,Peugeot family,255,Europe,,cars,True,False,inherited,1.5,1996
56,Financial,United States,Circle A Drilling,aquired,USA,1961,True,8100000000000.0,male,Money Management,True,Philip Anschutz,167,North America,investor,"oil, railroad, investments",True,False,self-made finance,2.2,1996
58,Traded Sectors,United States,Nike,new,USA,1964,True,8100000000000.0,male,Consumer,True,Philip Knight,26,North America,founder,apparel,True,False,founder non-finance,5.3,1996
42,0,Greece,Niarchos Ltd,new,GRC,1952,True,147000000000.0,male,Other,True,Philip Niarchos,71,Europe,relation,shipping,True,False,inherited,3.5,1996
-1,Non-Traded Sectors,France,Cora,new,FRA,1975,True,1610000000000.0,male,"Retail, Restaurant",True,Philippe Bouriez,171,Europe,founder,retail,True,False,founder non-finance,2.1,1996
-1,New Sectors,Switzerland,AxialPar,new,CHE,2001,True,330000000000.0,male,Technology-Medical,True,Pierre Landolt,47,Europe,founder,venture capitalist,True,False,founder non-finance,4.5,1996
-1,Traded Sectors,Thailand,Boon Rawd Brewery,new,THA,1933,True,182000000000.0,male,Consumer,True,Piya Bhirombhakdi,235,East Asia,relation,beer,True,False,inherited,1.7,1996
-1,0,Germany,Porsche,new,DEU,1931,True,2500000000000.0,,0,True,Porsche family,128,Europe,,cars,True,False,inherited,2.5,1996
-1,Traded Sectors,Thailand,Thai Petrochemical Industry,new,THA,1978,True,182000000000.0,male,Non-consumer industrial,True,Prachai Leophairatana,272,East Asia,founder,petrochemicals,True,True,inherited,1.5,1996
-1,Resource Related,Indonesia,Barito Pacific,new,IDN,1977,True,227000000000.0,male,Mining and metals,True,Prajogo Pangestu,163,East Asia,founder,petrochemicals,True,False,privatized and resources,2.2,1996
69,Traded Sectors,United States,Loews Corporation,new,USA,1946,True,8100000000000.0,male,Consumer,True,Preston Tisch,210,North America,founder,retail,True,False,founder non-finance,2.0,1996
-1,Traded Sectors,Indonesia,Sampoerna,new,IDN,1913,True,227000000000.0,male,Consumer,True,Putera Sampoerna,108,East Asia,relation,cigarette,True,False,inherited,2.8,1996
55,Financial,Malaysia,Hong Leong Financial Group,new,MYS,1963,True,101000000000.0,male,Money Management,True,Quek Leng Chan,81,East Asia,founder,financial services,True,False,self-made finance,3.3,1996
55,Financial,Indonesia,Djarum,new,IDN,1951,True,227000000000.0,male,Money Management,True,R Budi Hartono,247,East Asia,relation,tobacco,True,False,self-made finance,1.6,1996
52,Non-Traded Sectors,Lebanon,Saudi Oger,aquired,LBN,1978,True,13690217121.0,male,Constrution,True,Rafik Al-Hariri,135,Middle East/North Africa,founder,construction,True,True,privatized and resources,2.5,1996
57,Traded Sectors,United States,Ralph Lauren,new,USA,1967,True,8100000000000.0,male,Consumer,True,Ralph Lauren,314,North America,founder,clothing,True,False,founder non-finance,1.3,1996
-1,Non-Traded Sectors,United States,Hearst Corporation,new,USA,1887,True,8100000000000.0,male,Media,True,Randolph Hearst,414,North America,relation,media,True,False,inherited,1.0,1996
53,Resource Related,United States,Hunt Oil. Co,new,USA,1934,True,8100000000000.0,male,Energy,True,Ray Hunt,208,North America,relation,oil,True,False,inherited,2.0,1996
-1,Resource Related,United States,Tana Exploration Company,new,USA,1980,True,8100000000000.0,male,Energy,True,Reese Rowling,375,North America,founder,oil,True,False,privatized and resources,1.1,1996
-1,0,Germany,Benckiser,aquired,DEU,1923,True,2500000000000.0,,0,True,Reimann family,327,Europe,,consumer goods,True,False,inherited,1.2,1996
74,Non-Traded Sectors,Germany,Bertelsmann,new,DEU,1835,True,2500000000000.0,male,Media,True,Reinhard Mohn,301,Europe,relation,publishing,True,False,inherited,1.3,1996
60,Traded Sectors,Germany,Adolf Wurth Group,new,DEU,1945,True,2500000000000.0,male,Non-consumer industrial,True,Reinhold Wuerth,303,Europe,relation,screws,True,False,executive,1.3,1996
-1,Non-Traded Sectors,Japan,Takenaka,new,JPN,1610,True,4710000000000.0,male,Constrution,True,Renichi Takenaka,357,East Asia,relation,construction,True,False,inherited,1.1,1996
40,Non-Traded Sectors,Mexico,Grupo Salinas/Group Elektra,new,MEX,1906,True,397000000000.0,male,"Retail, Restaurant",True,Ricardo Salinas Pliego,399,Latin America,relation,telecommunications,True,False,inherited,1.0,1996
45,Non-Traded Sectors,United Kingdom,Virgin Group,new,GBR,1972,True,1310000000000.0,male,Media,True,Richard Branson,289,Europe,founder,media,True,False,founder non-finance,1.4,1996
70,Traded Sectors,United States,Amway,new,USA,1959,True,8100000000000.0,male,Consumer,True,Richard DeVos,86,North America,founder,consumer goods,True,False,founder non-finance,3.2,1996
-1,Financial,United States,Goldman Insurance and Risk Management,new,USA,1950,True,8100000000000.0,male,Hedge funds,True,Richard Goldman,334,North America,founder,insurance,True,False,self-made finance,1.2,1996
51,Financial,United States,ENSCO International,new,USA,1986,True,8100000000000.0,male,Real Estate,True,Richard Rainwater,373,North America,founder,hedge funds,True,False,self-made finance,1.1,1996
43,Non-Traded Sectors,United States,Bechtel Corporation,new,USA,1898,True,8100000000000.0,male,Constrution,True,Riley Bechtel,252,North America,relation and chairman,construction,True,False,inherited,1.6,1996
-1,Financial,Japan,Meiko Group,,JPN,1949,True,4710000000000.0,male,Real Estate,True,Rinji Shino,133,East Asia,,real estate,True,False,,2.5,1996
-1,Financial,Hong Kong,Sino Group,new,HKG,1970,True,160000000000.0,male,Real Estate,True,Robert and Ten Fong Ng,29,East Asia,relation,real estate,True,False,inherited,5.2,1996
48,Resource Related,United States,Sid Richardson Gasoline Co,new,USA,1919,True,8100000000000.0,male,Energy,True,Robert Bass,160,North America,relation,oil,True,False,inherited,2.3,1996
68,Traded Sectors,Germany,Robert Bosch GmbH,new,DEU,1886,True,2500000000000.0,male,Consumer,True,Robert Bosch Jr,278,Europe,relation,auto engines,True,False,inherited,1.4,1996
73,Non-Traded Sectors,United States,Motorola,new,USA,1928,True,8100000000000.0,male,Media,True,Robert Galvin,339,North America,relation,telecommunications,True,False,inherited,1.2,1996
-1,Non-Traded Sectors,United States,Levi Strauss & co,new,USA,1853,True,8100000000000.0,male,"Retail, Restaurant",True,Robert Haas,367,North America,relation,jeans,True,False,inherited,1.1,1996
73,Financial,Malaysia,Tana Exploration Company,new,MYS,1980,True,101000000000.0,male,Money Management,True,Robert Kuok,22,East Asia,relation,oil,True,False,self-made finance,5.7,1996
69,Financial,United States,Hyatt,aquired,USA,1957,True,8100000000000.0,male,Real Estate,True,Robert Pritzker,101,North America,relation,hotels,True,False,inherited,3.0,1996
21,Financial,United States,Ziff Davis Inc,new,USA,1928,True,8100000000000.0,male,Hedge funds,True,Robert Ziff,418,North America,relation,publishing,True,False,inherited,1.0,1996
-1,Non-Traded Sectors,Brazil,Andrade Gutierrez,new,BRA,1948,True,854000000000.0,male,Constrution,True,Roberto and Gabriel Andrade,321,Latin America,founder,construction,True,False,founder non-finance,1.2,1996
49,Financial,Mexico,Maseca,new,MEX,1948,True,397000000000.0,male,Money Management,True,Roberto Gonzalez Barrera,362,Latin America,founder,tortillas,True,True,self-made finance,1.1,1996
-1,Non-Traded Sectors,Brazil,Globo Organizations,new,BRA,1925,True,854000000000.0,male,Media,True,Roberto Marinho,170,Latin America,relation,media,True,False,inherited,2.1,1996
-1,Financial,Argentina,Techint,new,ARG,1945,True,272000000000.0,male,Diversified financial,True,Roberto Rocca,185,Latin America,Chairman and Chief Executive Officer,steel,True,False,self-made finance,2.0,1996
-1,Traded Sectors,Germany,Rochling Group,new,DEU,1822,True,2500000000000.0,,Non-consumer industrial,True,Rochling family,244,Europe,,coal,True,False,inherited,1.6,1996
41,Financial,Germany,Gerling Konzern,new,DEU,1904,True,2500000000000.0,male,Hedge funds,True,Rolf Gerling,79,Europe,relation,insurance,True,False,inherited,3.3,1996
59,Traded Sectors,United States,Est?Lauder,new,USA,1946,True,8100000000000.0,male,Consumer,True,Ronald Lauder,182,North America,relation,makeup,True,False,inherited,2.1,1996
53,Financial,United States,MacAnderws and Forbes Holdings,aquired,USA,1980,True,8100000000000.0,male,Private equity/leveraged buyout,True,Ronald Perelman,59,North America,founder,holding company,True,False,self-made finance,4.0,1996
-1,Traded Sectors,Germany,Oetker-Gruppe,new,DEU,1891,True,2500000000000.0,male,Consumer,True,Rudolf Oetker,104,Europe,relation,food,True,False,inherited,2.9,1996
-1,Financial,Hong Kong,Shaw Brothers Studio,new,HKG,1957,True,160000000000.0,male,Real Estate,True,Run Run Shaw,351,East Asia,founder,media,True,False,self-made finance,1.1,1996
65,Non-Traded Sectors,United States,News Limited,new,USA,1923,True,8100000000000.0,male,Media,True,Rupert Murdoch,85,North America,relation,media,True,False,inherited,3.2,1996
69,Financial,Japan,Promise Consumer Finance,new,JPN,1962,True,4710000000000.0,male,Money Management,True,Ryoichi Jinnai,177,East Asia,founder,finance,True,False,self-made finance,2.1,1996
-1,0,Japan,,,JPN,0,True,4710000000000.0,,Other,True,Ryusuke Kimura,358,East Asia,,,True,False,,1.1,1996
52,Non-Traded Sectors,United States,Walmart, new,USA,1962,True,8100000000000.0,male,"Retail, Restaurant",True,S Robson Walton,42,North America,relation,retail,True,False,inherited,4.7,1996
63,Traded Sectors,Turkey,Sabanci Holdings,new,TUR,1926,True,181000000000.0,male,Consumer,True,Sakip Sabanci,73,Middle East/North Africa,relation,textiles,True,False,inherited,3.5,1996
54,Financial,Saudi Arabia,Dallah al Baraka Group,new,SAU,1969,True,158000000000.0,male,Money Management,True,Saleh Kamel,403,Middle East/North Africa,founder,airport maintenance,True,False,self-made finance,1.0,1996
54,Financial,United States,Equity Group Investments,new,USA,1968,True,8100000000000.0,male,Real Estate,True,Sam Zell,346,North America,founder,real estate,True,False,self-made finance,1.2,1996
-1,Traded Sectors,Israel,Zodiac Maritime Agencies,new,ISR,1950,True,109000000000.0,male,Consumer,True,Sammy Ofer,393,Middle East/North Africa,relation,shipping,True,False,inherited,1.0,1996
67,Traded Sectors,United States,S. C. Johnson & Son,new,USA,1886,True,8100000000000.0,male,Consumer,True,Samuel Johnson,125,North America,relation,cleaning supplies,True,False,inherited,2.6,1996
-1,Financial,United States,LeFrack ,new,USA,1905,True,8100000000000.0,male,Real Estate,True,Samuel LeFrak,315,North America,relation,real estate,True,False,inherited,1.3,1996
68,Non-Traded Sectors,United States,Advance Publications,new,USA,1909,True,8100000000000.0,male,Media,True,Samuel Newhouse,49,North America,relation,media,True,False,inherited,4.5,1996
71,0,France,Dassault Group,new,FRA,1914,True,1610000000000.0,male,Other,True,Serge Dassault,277,Europe,relation,aviation,True,False,inherited,1.4,1996
68,0,Switzerland,Globus,new,CHE,1928,True,330000000000.0,male,Other,True,Sergio Mantegazza,270,Europe,relation,travel company,True,False,inherited,1.5,1996
-1,New Sectors,France,Schlumberger Well Services,new,FRA,1926,True,1610000000000.0,,Technology-Medical,True,Seydoux/Schlumberger families,53,Europe,,oilfield services,True,False,inherited,4.0,1996
-1,Financial,Saudi Arabia,Al Rajhi bank,new,SAU,1957,True,158000000000.0,male,Money Management,True,Sheikh Saleh Bin Abdul Aziz Al-rajhi,138,Middle East/North Africa,founder,Banking,True,False,self-made finance,2.5,1996
-1,Traded Sectors,Taiwan,Chi Mei Corporation,new,Taiwan,1960,True,0.0,male,Non-consumer industrial,True,Shi Wen-long,271,East Asia,founder,plastics,True,False,founder non-finance,1.5,1996
-1,Traded Sectors,South Korea,,,KOR,0,True,603000000000.0,,Consumer,True,Shin Kyuk-Ho,69,East Asia,,,True,False,,3.6,1996
-1,Traded Sectors,Japan,Toyota Motors,new,JPN,1937,True,4710000000000.0,male,Consumer,True,Shoichiro Toyoda,395,East Asia,relation,cars,True,False,inherited,1.0,1996
-1,New Sectors,Japan,Taisho Pharmaceutical,new,JPN,1912,True,4710000000000.0,male,Technology-Medical,True,Shoji Uehara,211,East Asia,relation,pharmaceuticals,True,False,inherited,1.9,1996
-1,Financial,Israel,Israel Corporation,state owned enterprise,ISR,1968,True,109000000000.0,male,Diversified financial,True,Shoul Eisenberg,392,Middle East/North Africa,founder,fertalizers,True,False,privatized and resources,1.0,1996
53,Resource Related,United States,Sid Richardson Gasoline Co,new,USA,1919,True,8100000000000.0,male,Energy,True,Sid Bass,213,North America,relation,oil,True,False,inherited,1.9,1996
59,Non-Traded Sectors,Italy,Fininvest,new,ITA,1978,True,1310000000000.0,male,Media,True,Silvio Berlusconi,35,Europe,founder,media,True,False,privatized and resources,5.0,1996
-1,Traded Sectors,Germany,,,DEU,0,True,2500000000000.0,,Consumer,True,Simon family,257,Europe,,,True,False,,1.5,1996
-1,Traded Sectors,Indonesia,Gajah Tunggal,new,IDN,1951,True,227000000000.0,male,Consumer,True,Sjamsul Nursalim,305,East Asia,owner,tires,True,False,,1.3,1996
50,0,Japan,Benesse Corporation,new,JPN,1955,True,4710000000000.0,male,Other,True,Soichiro Fukutake,311,East Asia,relation,publishing,True,False,inherited,1.3,1996
74,Financial,Hong Kong,Sociedade de Turismo e Divers?es de Macau,new,HKG,1962,True,160000000000.0,male,Real Estate,True,Stanley Ho,90,East Asia,founder,casinos,True,False,self-made finance,3.1,1996
62,Non-Traded Sectors,United States,Hubbard Broadcasting Inc,new,USA,1925,True,8100000000000.0,male,Media,True,Stanley Hubbard,229,North America,owner,media,True,False,executive,1.8,1996
48,Traded Sectors,Sweden, H&M, new,SWE,1947,True,288000000000.0,male,Consumer,True,Stefan Persson,285,Europe,relation, fashion,True,False,inherited,1.4,1996
34,Financial,Germany,Schorghuber Group,new,DEU,1954,True,2500000000000.0,male,Real Estate,True,Stefan Schoerghuber,172,Europe,relation,real estate,True,False,inherited,2.1,1996
48,Financial,Switzerland,Holcim,new,CHE,1912,True,330000000000.0,male,Money Management,True,Stephan Schmidheiny,159,Europe,relation,construction,True,False,inherited,2.3,1996
70,Non-Traded Sectors,United States,Bechtel Corporation,new,USA,1898,True,8100000000000.0,male,Constrution,True,Stephen Bechtel,254,North America,relation,construction,True,False,inherited,1.6,1996
39,New Sectors,United States,Microsoft,new,USA,1975,True,8100000000000.0,male,Technology-Computer,True,Steven Ballmer,66,North America,CEO,technology,True,False,executive,3.7,1996
49,Non-Traded Sectors,United States,DreamWorks,new,USA,1994,True,8100000000000.0,male,Media,True,Steven Spielberg,422,North America,founder,movies,True,False,founder non-finance,1.0,1996
-1,Traded Sectors,Germany,,,DEU,0,True,2500000000000.0,,Consumer,True,Strwher family,389,Europe,,,True,False,,1.0,1996
-1,Financial,Saudi Arabia,General Contracting Company,new,SAU,1947,True,158000000000.0,male,Diversified financial,True,Suliman Olayan,96,Middle East/North Africa,founder,oil infrastructure,True,False,self-made finance,3.0,1996
72,Non-Traded Sectors,United States,National Amusements,new,USA,1936,True,8100000000000.0,male,Media,True,Sumner Redstone,77,North America,relation,media,True,False,inherited,3.4,1996
63,Traded Sectors,United States,Berkshire Hathaway,new,USA,1962,True,8100000000000.0,female,Consumer,True,Susan Thompson Buffett,345,North America,relation, Finance,True,False,inherited,1.2,1996
49,Traded Sectors,Japan,YKK,new,JPN,1934,True,4710000000000.0,male,Consumer,True,Tadahiro Yoshida,307,East Asia,relation,zippers,True,False,inherited,1.3,1996
-1,Non-Traded Sectors,Malaysia,Malaysia Airlines,state owned enterprise,MYS,1937,True,101000000000.0,male,Media,True,Tajudin Ramli,281,East Asia,Chairman and Chief Executive Officer,airplanes,True,False,privatized and resources,1.4,1996
50,New Sectors,Japan,Keyence,new,JPN,1974,True,4710000000000.0,male,Technology-Computer,True,Takemitsu Takizaki,279,East Asia,founder,technology,True,False,founder non-finance,1.4,1996
-1,Financial,Philippines,Asiaworld Internationale Group,new,PHL,1972,True,82848194406.0,male,Real Estate,True,Tan Yu,16,East Asia,founder,real estate,True,False,self-made finance,7.0,1996
-1,Non-Traded Sectors,United States,APAC Customer Services,new,USA,1973,True,8100000000000.0,male,Media,True,Ted Schwartz,371,North America,founder,outsourcing,True,False,founder non-finance,1.1,1996
57,Non-Traded Sectors,United States,CNN,aquired,USA,1970,True,8100000000000.0,male,Media,True,Ted Turner,183,North America,founder,media,True,False,founder non-finance,2.1,1996
56,Financial,Malaysia,Public Bank,new,MYS,1966,True,101000000000.0,male,Money Management,True,Teh Hong Piow,224,East Asia,founder,banking,True,False,self-made finance,1.8,1996
-1,Financial,Thailand,Advanced Info Service,new,THA,1986,True,182000000000.0,male,Real Estate,True,Thaksin Shinawatra,180,East Asia,founder,mobile phones,True,True,privatized and resources,2.1,1996
-1,Non-Traded Sectors,Germany,Aldi Nord,new,DEU,1913,True,2500000000000.0,male,"Retail, Restaurant",True,Theo and Karl Albrecht,9,Europe,Relation,groceries,True,False,inherited,9.0,1996
-1,Non-Traded Sectors,Israel,Carnival Corporation,new,ISR,1972,True,109000000000.0,female,"Retail, Restaurant",True,Theodore Arison,193,Middle East/North Africa,relation,banking,True,False,inherited,2.0,1996
33,New Sectors,United States,Gateway,new,USA,1985,True,8100000000000.0,male,Technology-Computer,True,Theodore Waitt,238,North America,founder,computers,True,False,founder non-finance,1.7,1996
57,New Sectors,United States,Hostpital Corporation of America,new,USA,1968,True,8100000000000.0,male,Technology-Medical,True,Thomas Frist,380,North America,founder/relation,hospitals,True,False,founder non-finance,1.1,1996
50,Non-Traded Sectors,Switzerland,Holcim,new,CHE,1912,True,330000000000.0,male,Constrution,True,Thomas Schmidheiny,200,Europe,relation,cement,True,False,inherited,2.0,1996
60,Resource Related,Malaysia,Rimbunan Hijau Group,new,MYS,1976,True,101000000000.0,male,Mining and metals,True,Tiong Hiew King,75,East Asia,founder,timber,True,False,privatized and resources,3.4,1996
71,Financial,Taiwan,Lin Yuan Group,new,Taiwan,1962,True,0.0,male,Hedge funds,True,Tsai Wan-lin,5,East Asia,founder,banking and insurance,True,False,self-made finance,12.2,1996
-1,Traded Sectors,France,Verspieren,new,FRA,1880,True,1610000000000.0,,Non-consumer industrial,True,Verspieren family,189,Europe,,insurance,True,False,inherited,2.0,1996
-1,Traded Sectors,Germany,Siemens,new,DEU,1847,True,2500000000000.0,,Non-consumer industrial,True,Von Siemens family,119,Europe,,industrial automation,True,False,inherited,2.6,1996
-1,Non-Traded Sectors,United States,Philadelphia Inquirer,aquired,USA,1936,True,8100000000000.0,male,Media,True,Walter Annenberg,65,North America,relation,media,True,False,inherited,3.7,1996
85,New Sectors,Switzerland,Automation Center,new,CHE,1957,True,330000000000.0,male,Technology-Computer,True,Walter Haefner,25,Europe,founder,computer services,True,False,founder non-finance,5.5,1996
-1,Financial,Hong Kong,Sun Hung Kai Properties,new,HKG,1963,True,160000000000.0,male,Real Estate,True,Walter Thomas and Raymond Kwok,6,East Asia,Relation,real estate,True,False,inherited,11.2,1996
