city,days away,days away/restricted/transfer,division,id,label,major_group,name,second name,state,street,total case rate,year,zip
Atlanta,3.71,3.71,Services,8052,Intermediate Care Facilities,Health Services,A G Rhodes Home Inc,,GA,350 Boulevard Southeast,8.91,2002,30312
INDIANAPOLIS,1.53,15.35,Wholesale Trade,5031,"Lumber, Plywood, Millwork, and Wood Panels",Wholesale Trade-durable Goods,OVERHEAD DOOR OF INDIANAPOLIS,HOOSIER INSULATION,IN,8811 BASH ST,17.91,2002,46256
SOUTH BELOIT,3.68,8.59,Manufacturing,3291,Abrasive Products,"Stone, Clay, Glass, And Concrete Products",Unova Inc,Gardner Abrasives Operations,IL,481 GARDNER ST,17.19,2002,61080
SHEFFIELD,3.54,3.54,Wholesale Trade,5031,"Lumber, Plywood, Millwork, and Wood Panels",Wholesale Trade-durable Goods,Great Southern Wood Prsv Inc,,AL,755 W 20TH AVE,4.42,2002,35660
CLEVELAND,0.0,0.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",4212,Local Trucking Without Storage,Motor Freight Transportation And Warehousing,OBrien & Nye Cartage Co,,OH,29855 SOLON RD,1.76,2002,44139
WHITEWATER,3.0,3.76,Manufacturing,3556,Food Products Machinery,Industrial And Commercial Machinery And Computer Equipment,WEILER AND COMPANY INC,,WI,1116 E MAIN ST,11.28,2002,53190
Saint Paul,0.87,0.87,Manufacturing,3479,"Coating, Engraving, and Allied Services, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Applied Coating Technology,,MN,2411 Pilot Knob Rd,6.99,2002,55120
Minneapolis,0.0,0.0,Manufacturing,3451,Screw Machine Products,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Anderson Automatics Inc,,MN,6401 Welcome Ave N,0.0,2002,55429
LA PORTE,3.66,4.66,Manufacturing,3564,Industrial and Commercial Fans and Blowers and Air Purification Equipment,Industrial And Commercial Machinery And Computer Equipment,THE NEW YORK BLOWER COMPANY,,IN,171 FACTORY ST,9.33,2002,46350
MADISON,1.87,3.75,Manufacturing,3272,"Concrete Products, Except Block and Brick","Stone, Clay, Glass, And Concrete Products",Madison Concrete Pipe Inc,,WI,3725 LEXINGTON AVE,28.15,2002,53714
PONCA CITY,1.96,1.96,Manufacturing,3441,Fabricated Structural Metal,"Fabricated Metal Products, Except Machinery And Transportation Equipment",MERTZ INC,,OK,1701 N WAVERLY ST,11.12,2002,74601
Perry,2.09,4.47,Manufacturing,3531,Construction Machinery and Equipment,Industrial And Commercial Machinery And Computer Equipment,Charles Machine Works Inc,Ditch Witch,OK,1959 W Fir St,12.96,2002,73077
Worcester,9.3,9.3,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Giroux Bros Transportation,,MA,40 Ballard St,11.62,2002,1607
GOODRICH,0.0,1.51,Manufacturing,3465,Automotive Stampings,"Fabricated Metal Products, Except Machinery And Transportation Equipment",BURKLAND TEXTRON INC,,MI,6520 S STATE RD,2.26,2002,48438
Burlingame,0.36,0.73,Manufacturing,3433,"Heating Equipment, Except Electric and Warm Air Furnaces","Fabricated Metal Products, Except Machinery And Transportation Equipment",Coen Company Inc,,CA,1510 Rollins Rd,0.73,2002,94010
DENTON,2.97,2.97,Manufacturing,3993,Signs and Advertising Specialties,Miscellaneous Manufacturing Industries,Starlite Sign of Denton Inc,,TX,7923 E MCKINNEY ST,8.92,2002,76208
Hearne,1.56,4.7,Manufacturing,3315,Steel Wiredrawing and Steel Nails and Spikes,Primary Metal Industries,Hearne Steel Company,,TX,Vaughn Ln,4.7,2002,77859
LOUISVILLE,8.05,14.31,Wholesale Trade,5182,Wine and Distilled Alcoholic Beverages,Wholesale Trade-non-durable Goods,COMMONWEALTH WINE & SPIRITS,,KY,2300 STANLEY GAULT PKWY,16.1,2002,40223
TRACY,0.0,5.68,Manufacturing,3221,Glass Containers,"Stone, Clay, Glass, And Concrete Products",OWENS-BROCKWAY GLASS CONTAINER,,CA,14700 W SCHULTE RD,8.52,2002,95377
BURLESON,1.15,6.95,Services,8059,"Nursing and Personal Care Facilities, Not Elsewhere Classified",Health Services,Huguley Nursing Center Inc,,TX,301 HUGULEY BLVD,6.95,2002,76028
LUBBOCK,1.45,4.85,Manufacturing,2431,Millwork,"Lumber And Wood Products, Except Furniture",OHAIR SHUTTERS LTD,,TX,2001 N AVENUE P,6.31,2002,79403
ERIE,5.38,7.54,Wholesale Trade,5093,Scrap and Waste Materials,Wholesale Trade-durable Goods,LIMCO INC,LIBERTY IRON & METAL CO INC,PA,1515 EAST AVE,18.32,2002,16503
SAN JOSE,10.55,10.55,Manufacturing,2841,"Soap and Other Detergents, Except Specialty Cleaners",Chemicals And Allied Products,Ecolab Inc,,CA,640 LENFEST RD,12.66,2002,95133
HONDO,2.83,21.23,Manufacturing,3088,Plastics Plumbing Fixtures,Rubber And Miscellaneous Plastics Products,Cr/Pl Llc,Crane Plumbing,TX,815 CARTER,21.23,2002,78861
EDINBURG,0.0,0.0,Manufacturing,2752,"Commercial Printing, Lithographic","Printing, Publishing, And Allied Industries",GATEWAY PRINTING & OFFICE SUP,,TX,315 S CLOSNER BLVD,0.0,2002,78539
Houston,4.63,4.63,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Service Transport Company,,TX,7900 Almeda Genoa Rd,4.63,2002,77075
Temecula,1.4,2.8,Manufacturing,3199,"Leather Goods, Not Elsewhere Classified",Leather And Leather Products,Bianchi International,Gregory Mountain Products,CA,27969 Jefferson Ave,2.8,2002,92590
Paramount,6.86,7.32,Manufacturing,3463,Nonferrous Forgings,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Weber Metals Inc,,CA,16706 Garfield Ave,7.32,2002,90723
SANTA FE SPRINGS,0.0,5.88,Manufacturing,2599,"Furniture and Fixtures, Not Elsewhere Classified",Furniture And Fixtures,ROY E THOMAS FURNITURE MFG,,CA,13724 BORATE ST,5.88,2002,90670
Compton,3.99,15.16,Manufacturing,3324,Steel Investment Foundries,Primary Metal Industries,Dameron Alloy Foundries,,CA,927 S Santa Fe Ave,19.95,2002,90221
Yuba City,7.66,15.32,Manufacturing,2034,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes",Food And Kindred Products,Sunsweet Dryers,,CA,900 Pease Rd,30.65,2002,95991
El Monte,0.45,3.15,Manufacturing,3494,"Valves and Pipe Fittings, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",Vacco Industries,,CA,10350 Vacco St,3.15,2002,91733
Sioux City,1.61,8.86,Manufacturing,2099,"Food Preparations, Not Elsewhere Classified",Food And Kindred Products,American Pop Corn Company,Jolly Time Pop Corn,IA,1 Fun Pl,12.89,2002,51108
DENISON,1.82,9.89,Manufacturing,2011,Meat Packing Plants,Food And Kindred Products,FARMLAND FOODS INC,,IA,800 INDUSTRIAL DR,19.78,2002,51442
TULSA,0.0,12.48,Manufacturing,3496,Miscellaneous Fabricated Wire Products,"Fabricated Metal Products, Except Machinery And Transportation Equipment",General Wire & Supply Co,,OK,1800 S 81ST WEST AVE,12.48,2002,74127
WICHITA,2.47,2.47,Manufacturing,2673,"Plastics, Foil, and Coated Paper Bags",Paper And Allied Products,ENVISION INC,,KS,2301 S WATER ST,5.93,2002,67213
Mc Kinney,3.46,10.39,Manufacturing,3471,"Electroplating, Plating, Polishing, Anodizing, and Coloring","Fabricated Metal Products, Except Machinery And Transportation Equipment",T Y G Products LP,,TX,1800 N McDonald St,15.59,2002,75071
MILWAUKEE,13.01,18.58,"Transportation, Communications, Electric, Gas, And Sanitary Services",4225,General Warehousing and Storage,Motor Freight Transportation And Warehousing,HANSEN STORAGE COMPANY,REBECCA STEWART,WI,2880 N 112TH ST,24.16,2002,53222
NORWICH,0.0,1.13,Manufacturing,3321,Gray and Ductile Iron Foundries,Primary Metal Industries,FARRAR CORPORATION,,KS,142 W BURNS ST,10.23,2002,67118
San Angelo,1.93,3.87,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Coca-Cola Bottling Co,Coca-Cola,TX,69 N Chadbourne St,9.69,2002,76903
Wichita Falls,4.48,4.48,Wholesale Trade,5181,Beer and Ale,Wholesale Trade-non-durable Goods,Golden Distributing Entps LP,Golden Distributing Co,TX,5353 Kell Blvd,6.72,2002,76310
ALEXANDRIA,0.0,4.73,Manufacturing,2086,Bottled and Canned Soft Drinks and Carbonated Waters,Food And Kindred Products,Alexandria Coca Cola Btlg Cce,Coca-Cola,LA,7400 COLISEUM BLVD,7.56,2002,71303
Madison,2.06,8.24,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Armstrong Transfer & Stor Co,Armstrong Relocation Co Inc,MS,1223 Highway 51,20.61,2002,39110
WICHITA,0.3,7.61,Manufacturing,3444,Sheet Metal Work,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Metal-Fab Inc,,KS,3025 MAY ST,13.1,2002,67213
RANCHO CUCAMONGA,0.92,8.82,Manufacturing,3714,Motor Vehicle Parts and Accessories,Transportation Equipment,ATC (INC),RPM MERIT,CA,12250 4TH ST,29.26,2002,91730
CLOVIS,2.09,3.62,Manufacturing,2037,"Frozen Fruits, Fruit Juices, and Vegetables",Food And Kindred Products,WAWONA FROZEN FOODS INC,Tak Yoshida,CA,100 W ALLUVIAL AVE,3.62,2002,93611
SAN LEANDRO,0.0,0.0,Manufacturing,3451,Screw Machine Products,"Fabricated Metal Products, Except Machinery And Transportation Equipment",MARs Engineering Co,Vin-Max,CA,699 MONTAGUE ST,0.0,2002,94577
SAINT HELENA,5.89,14.73,Manufacturing,2084,"Wines, Brandy, and Brandy Spirits",Food And Kindred Products,C MONDAVI & SONS,CHARLES KRUG WINERY,CA,2800 MAIN ST,16.94,2002,94574
GREENSBORO,0.76,0.98,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,EPES TRANSPORT SYSTEM INC,,NC,3400 EDGEFIELD CT,0.98,2002,27409
BALLSTON SPA,1.47,1.47,"Transportation, Communications, Electric, Gas, And Sanitary Services",4225,General Warehousing and Storage,Motor Freight Transportation And Warehousing,HALSTED COMMUNICATIONS LTD,,NY,13 COMMERCE DRIVE - BALLSTON COMMERCIAL PARK,1.47,2002,12020
FRESNO,1.86,9.34,Manufacturing,2819,"Industrial Inorganic Chemicals, Not Elsewhere Classified",Chemicals And Allied Products,San Joaquin Supply Co,,CA,5213 E PINE AVE,9.34,2002,93727
Chesapeake,9.23,13.84,"Transportation, Communications, Electric, Gas, And Sanitary Services",4212,Local Trucking Without Storage,Motor Freight Transportation And Warehousing,Oil Transport Inc,,VA,4419 Bainbridge Blvd,13.84,2002,23320
SPRINGDALE,0.0,0.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",4222,Refrigerated Warehousing and Storage,Motor Freight Transportation And Warehousing,Frez-N-Stor Inc,,AR,311 W SUNSET AVE,1.05,2002,72764
DALLAS,2.63,2.63,Manufacturing,3479,"Coating, Engraving, and Allied Services, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",TEXAS NAMEPLATE COMPANY INC,,TX,1900 S ERVAY ST,2.63,2002,75215
LOS ANGELES,2.07,19.47,Manufacturing,2086,Bottled and Canned Soft Drinks and Carbonated Waters,Food And Kindred Products,COCA-COLA BOTTLING LOS ANGELES,COCA-COLA,CA,1334 S CENTRAL AVE,25.27,2002,90021
LOS ANGELES,3.74,11.24,Manufacturing,2431,Millwork,"Lumber And Wood Products, Except Furniture",Vent Vue Window Products Co,Vent Vue Products,CA,2424 GLOVER PL,11.24,2002,90031
MONTEBELLO,1.13,8.33,Manufacturing,3589,"Service Industry Machinery, Not Elsewhere Classified",Industrial And Commercial Machinery And Computer Equipment,WILBUR CURTIS CO INC,,CA,6913 W ACCO ST,9.46,2002,90640
Dallas,0.0,0.0,Manufacturing,3317,Steel Pipe and Tubes,Primary Metal Industries,Lone Star Technologies Inc,,TX,15660 Dallas Pkwy Ste 500,0.0,2002,75248
COLUMBUS,5.42,6.58,Services,8051,Skilled Nursing Care Facilities,Health Services,VILLA ANGELA CARE CENTER,,OH,5700 KARL RD,6.97,2002,43229
ATLANTA,1.59,5.19,Wholesale Trade,5181,Beer and Ale,Wholesale Trade-non-durable Goods,BETTER BRANDS OF ATLANTA INC.,BETTER BRANDS,GA,755 JEFFERSON ST NW,22.36,2002,30318
NORTH SIOUX CITY,1.45,7.26,Manufacturing,2052,Cookies and Crackers,Food And Kindred Products,INTERBAKE FOODS INC,,SD,1 DEVILS FOOD DR,19.37,2002,57049
Shippensburg,1.51,3.34,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Cressler Trucking Inc,,PA,1069 Seibert Ave,5.77,2002,17257
KANNAPOLIS,0.0,0.0,Manufacturing,2392,"House furnishing, Except Curtains and Draperies",Apparel And Other Finished Products Made From Fabrics And Similar Materials,PILLOWTEX CORPORATION,SHEET DISTRIBUTION,NC,1 LAKE CIRCLE DR 107,1.77,2002,28081
GRAND PRAIRIE,0.0,0.0,Manufacturing,3469,"Metal Stampings, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",GENESEE PRECISION FABRICATION,,TX,1470 AVENUE T,7.11,2002,75050
SEGUIN,1.56,2.73,Manufacturing,3523,Farm Machinery and Equipment,Industrial And Commercial Machinery And Computer Equipment,ALAMO GROUP (TX) LP,,TX,1502 E WALNUT ST,10.16,2002,78155
BRADY,5.83,5.83,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Ed Davenport Inc,,TX,1501 S BRIDGE ST,5.83,2002,76825
New Hyde Park,0.0,0.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",4215,"Courier Services, Except by Air",Motor Freight Transportation And Warehousing,Walsh Messenger Service Inc,A Walsh Messenger Service,NY,4 3rd St,0.0,2002,11040
COSTA MESA,5.58,9.13,Manufacturing,3492,Fluid Power Valves and Hose Fittings,"Fabricated Metal Products, Except Machinery And Transportation Equipment",GRISWOLD INDUSTRIES,,CA,1701 PLACENTIA AVE,9.39,2002,92627
HOUSTON,3.01,9.04,Manufacturing,3444,Sheet Metal Work,"Fabricated Metal Products, Except Machinery And Transportation Equipment",METALLIC PRODUCTS CORPORATION,,TX,7777 HOLLISTER,22.6,2002,77040
BEDFORD PARK,3.84,16.66,Manufacturing,2099,"Food Preparations, Not Elsewhere Classified",Food And Kindred Products,Heller Seasonings Ingredients,,IL,6363 W 73RD ST,21.79,2002,60638
South San Francisco,2.12,2.12,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,J F C International Inc,,CA,540 Forbes Blvd,9.19,2002,94080
Philadelphia,2.29,2.29,"Transportation, Communications, Electric, Gas, And Sanitary Services",4953,Refuse Systems,"Electric, Gas, And Sanitary Services",Morris Iron & Steel Co Inc,,PA,7345 Milnor St Ste 1,2.29,2002,19136
BISMARCK,0.89,1.78,Wholesale Trade,5141,"Groceries, General Line",Wholesale Trade-non-durable Goods,SUPERVALU INC,SUPERVALU RETAIL SUPPORT CTR,ND,707 AIRPORT RD,3.56,2002,58504
Lafayette,0.0,0.0,Manufacturing,2033,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies",Food And Kindred Products,Bell-Carter Foods Inc,Bell-Carter Olive Company,CA,3742 Mt Diablo Blvd,0.0,2002,94549
PADUCAH,2.59,11.67,Manufacturing,3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,VINYL WINDOW TECHNOLOGIES,,KY,2400 IRVIN COBB DR,25.93,2002,42003
SALINE,0.93,15.66,Manufacturing,3714,Motor Vehicle Parts and Accessories,Transportation Equipment,VISTEON CORPORATION,PLASTICS PAINT & VINYL DIV,MI,7700 E MICHIGAN AVE,23.19,2002,48176
Los Angeles,0.0,0.0,Manufacturing,2084,"Wines, Brandy, and Brandy Spirits",Food And Kindred Products,San Antonio Winery,San Antonio Gift Shop,CA,737 Lamar St,0.0,2002,90031
COLUMBUS,3.18,3.18,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Interstate Carrier Xpress Inc,,IL,3820 WISMAN LN,5.83,2002,62301
LUFKIN,0.73,7.49,Manufacturing,3322,Malleable Iron Foundries,Primary Metal Industries,TEXAS FOUNDRIES LTD LP,CITAION TEXAS FOUNDRIES,TX,1611 N RAGUET ST,10.28,2002,75904
Paterson,21.42,21.42,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Metropolitan Trucking Inc,,NJ,265 Mclean Blvd,21.42,2002,7504
Bedford,3.64,3.64,Wholesale Trade,5141,"Groceries, General Line",Wholesale Trade-non-durable Goods,Blackburn-Russell Co Inc,,PA,157 Railroad St,3.64,2002,15522
GROVE CITY,4.82,6.74,Manufacturing,2439,"Structural Wood Members, Not Elsewhere Classified","Lumber And Wood Products, Except Furniture",MONTGOMERY TRUSS AND PANEL,,PA,803 W MAIN ST,16.39,2002,16127
Tulsa,2.55,2.98,Wholesale Trade,5141,"Groceries, General Line",Wholesale Trade-non-durable Goods,Frito-Lay Inc,Frito-Lay,OK,11124 E Marshall St,4.68,2002,74116
STILWELL,0.28,4.55,Manufacturing,2038,"Frozen Specialties, Not Elsewhere Classified",Food And Kindred Products,MRS SMITHS BAKERY STILLWELL,,OK,5 E WALNUT ST,4.69,2002,74960
SEWARD,2.35,7.46,Manufacturing,2499,"Wood Products, Not Elsewhere Classified","Lumber And Wood Products, Except Furniture",HUGHES BROTHERS INC,,NE,210 N 13TH ST,16.88,2002,68434
WAVERLY,10.38,15.57,Manufacturing,3317,Steel Pipe and Tubes,Primary Metal Industries,VALMONT,CENTRAL NEBRASKA TUBING,NE,14441 HIGHWAY 6,25.95,2002,68462
RIVERSIDE,2.71,11.52,Services,8059,"Nursing and Personal Care Facilities, Not Elsewhere Classified",Health Services,BEN BENNETT INC,COMMUNITY CARE RHBLITATION CTR,CA,4070 JURUPA AVE,11.52,2002,92506
Columbus,27.53,27.53,"Transportation, Communications, Electric, Gas, And Sanitary Services",4512,"Air Transportation, Scheduled",Transportation By Air,Continental Airlines Inc,Continental Airlines,OH,4600 International Gtwy,27.53,2002,43219
Detroit,11.41,13.69,Manufacturing,3272,"Concrete Products, Except Block and Brick","Stone, Clay, Glass, And Concrete Products",Michigan Foundation Company,,MI,6618 French Rd,27.39,2002,48213
Schaumburg,0.0,0.0,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Conagra Foods Inc,Conagra Foods Logistic,IL,1933 N Meacham Rd,0.0,2002,60173
CHARLOTTE,0.0,0.0,Manufacturing,2865,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments",Chemicals And Allied Products,CLARIANT CORPORATION,,NC,4331 CHESAPEAKE DR,0.89,2002,28216
Youngstown,2.43,2.43,Services,8051,Skilled Nursing Care Facilities,Health Services,S T F Inc,,OH,830 Boardman Canfield Rd,6.08,2002,44512
Solomons,6.67,6.67,Services,8051,Skilled Nursing Care Facilities,Health Services,Solomons Nursing Center Inc,Solomons Nursing Center,MD,13325 Dowell Rd,9.53,2002,20688
Du Bois,0.0,0.0,Wholesale Trade,5147,Meats and Meat Products,Wholesale Trade-non-durable Goods,Palumbos Meats of Du Bois,Palumbos Meat Market,PA,326 W Long Ave,6.41,2002,15801
MANHATTAN BEACH,2.37,4.74,Manufacturing,3131,Boot and Shoe Cut Stock and Findings,Leather And Leather Products,SKECHERS USA INC,,CA,228  MANHATTAN AVE,8.47,2002,90266
LOUISVILLE,4.81,4.81,Manufacturing,2391,Curtains and Draperies,Apparel And Other Finished Products Made From Fabrics And Similar Materials,Cadet Manufacturing Corp,,GA,1111 AIRPORT RD HWY 17,24.09,2002,30434
HARRISBURG,1.21,8.89,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,PEPSI-COLA METRO BTLG CO INC,PEPSI-COLA,PA,941 DANA DR,12.53,2002,17109
Fort Wayne,6.27,10.45,Wholesale Trade,5142,Packaged Frozen Foods,Wholesale Trade-non-durable Goods,Dilgard Frozen Foods Inc,,IN,830 Hayden St,12.54,2002,46803
DAYTON,4.21,8.43,Manufacturing,3669,"Communications Equipment, Not Elsewhere Classified","Electronic And Other Electrical Equipment And Components, Except Computer Equipment",A & A SAFETY INC,,OH,2705 NEEDMORE RD,14.75,2002,45414
Massena,0.15,3.17,Manufacturing,3369,"Nonferrous Foundries, Except Aluminum and Copper",Primary Metal Industries,General Motors Corporation,Power Trian Div-Casting Oper,NY,RR 37,4.12,2002,13662
TARRYTOWN,20.48,20.48,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Tropicana Products,Citrus Bowl Division,NY,"660 WHITE PLAINS RD., STE 250",24.58,2002,10591
CENTRALIA,2.3,6.33,Manufacturing,3561,Pumps and Pumping Equipment,Industrial And Commercial Machinery And Computer Equipment,Engineered Fluid Inc,,IL,1308 N MAPLE ST,10.93,2002,62801
LONG BEACH,2.31,5.78,"Transportation, Communications, Electric, Gas, And Sanitary Services",4212,Local Trucking Without Storage,Motor Freight Transportation And Warehousing,Ventura Transfer Company,Lesbro Company,CA,2418 E 223RD ST,10.41,2002,90810
PALMER,2.44,2.64,Services,8062,General Medical and Surgical Hospitals,Health Services,VALLEY HOSPITAL ASSOCIATION,VALLEY HOSPITAL,AK,515 E DAHLIA AVE,9.57,2002,99645
QUAKERTOWN,1.13,5.67,Manufacturing,2013,Sausages and Other Prepared Meat Products,Food And Kindred Products,KNAUSS FOODS,KNAUSS DRIED BEEF COMPANY DIV,PA,625 E BROAD ST,5.67,2002,18951
Compton,0.0,4.5,Manufacturing,3366,Copper Foundries,Primary Metal Industries,Fleetwood Continental Inc,,CA,19451 S Susana Rd,4.5,2002,90221
TOTOWA,2.77,5.84,Manufacturing,3841,Surgical and Medical Instruments and Apparatus,"Measuring, Analyzing, And Controlling Instruments; Photographic, Medical And Optical Goods; Watches And Clocks",Vital Signs Inc,,NJ,20 CAMPUS RD,6.15,2002,7512
White Plains,0.0,0.0,Services,8051,Skilled Nursing Care Facilities,Health Services,Miller Nathn Ctr Nrsng Care,White Plains Ctr Nursing Care,NY,37 Dekalb Ave,0.0,2002,10605
Sterling,3.96,5.05,"Transportation, Communications, Electric, Gas, And Sanitary Services",4513,Air Courier Services,Transportation By Air,FedEx Express,,VA,23723 Air Frt Ln Ste 100,7.21,2002,20166
Salt Lake City,3.41,3.41,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Montana Brand Produce Co Inc,,UT,1507 Beck St,10.25,2002,84116
Bakersfield,3.0,5.66,Services,8062,General Medical and Surgical Hospitals,Health Services,Bakersfield Memorial Hospital,Memorial Center,CA,420 34th St,5.78,2002,93301
HATTIESBURG,4.41,14.33,Manufacturing,3524,Lawn and Garden Tractors and Home Lawn and Garden Equipment,Industrial And Commercial Machinery And Computer Equipment,Kohler Co,,MS,182 J M TATUM INDUSTRIAL,24.25,2002,39401
Utica,1.34,2.01,Wholesale Trade,5141,"Groceries, General Line",Wholesale Trade-non-durable Goods,Casa Imports Inc,,NY,1301 Broad St,2.01,2002,13501
Harrisburg,0.0,0.0,Wholesale Trade,5181,Beer and Ale,Wholesale Trade-non-durable Goods,Wilsbach Distributors Inc,,PA,905 Katie CT,13.04,2002,17109
Yreka,5.88,5.88,"Transportation, Communications, Electric, Gas, And Sanitary Services",4213,"Trucking, Except Local",Motor Freight Transportation And Warehousing,Stidham Trucking Inc,STIDHAM TRUCK REPAIR,CA,318 Payne Ln,7.84,2002,96097
EDISON,0.0,0.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",4231,Terminal and Joint Terminal Maintenance Facilities for Motor Freight Transportation,Motor Freight Transportation And Warehousing,McLaughlin Magic Fleet Inc,,NJ,46 NORTHFIELD AVE,0.0,2002,8837
MONTGOMERYVILLE,0.0,2.4,Manufacturing,3674,Semiconductors and Related Devices,"Electronic And Other Electrical Equipment And Components, Except Computer Equipment",MICROSEMI CORPORATION,MICROSEMI RF PRODUCTS,PA,140 COMMERCE DR,2.4,2002,18936
Wooster,4.88,22.8,"Transportation, Communications, Electric, Gas, And Sanitary Services",4953,Refuse Systems,"Electric, Gas, And Sanitary Services",Waste Management Inc,Division 0455,OH,116 N Bauer Rd,27.69,2002,44691
Greensburg,0.0,0.0,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,George De Lallo Company Inc,De Lallos Italian Foods,PA,Rosytown Rd,4.9,2002,15601
Crestline,0.96,0.96,"Transportation, Communications, Electric, Gas, And Sanitary Services",4212,Local Trucking Without Storage,Motor Freight Transportation And Warehousing,Golden Hawk Transportation Inc,,OH,4594 US Highway 30,0.96,2002,44827
Milwaukee,3.84,3.84,Manufacturing,3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Pereles Brothers Inc,,WI,5840 N 60th St,4.8,2002,53218
Los Angeles,0.0,3.93,Wholesale Trade,5141,"Groceries, General Line",Wholesale Trade-non-durable Goods,Grandview Ranch Market Inc,,CA,5350 Sheila St,3.93,2002,90040
Gladbrook,2.42,2.42,Services,8052,Intermediate Care Facilities,Health Services,Westbrook Acres,Nursing Home,IA,605 Garfield St,2.42,2002,50635
MILLVILLE,8.73,9.97,Services,8059,"Nursing and Personal Care Facilities, Not Elsewhere Classified",Health Services,MILLVILLE NURSING CENTER ASSOC,MILLVILLE HEALTH CENTER,PA,STATE ST,21.2,2002,17846
Colorado Springs,1.17,1.17,Manufacturing,3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Powell Products Inc,,CO,4940 Northpark Dr,2.35,2002,80918
GARDENA,0.0,2.95,Manufacturing,2431,Millwork,"Lumber And Wood Products, Except Furniture",OHLINE CORPORATION,,CA,1930 W 139TH ST,3.93,2002,90249
CAMDEN,7.15,11.45,Manufacturing,3341,Secondary Smelting and Refining of Nonferrous Metals,Primary Metal Industries,STATE METAL INDUSTRIES INC,,NJ,941 S 2ND ST,17.17,2002,8103
SAN ANTONIO,0.0,0.0,Services,8051,Skilled Nursing Care Facilities,Health Services,TRINITY RETIREMENT COMMUNITIES,COVENANT CARE CENTER,TX,6518 SAMARITAN DR,0.0,2002,78238
Sebring,0.0,7.07,Wholesale Trade,5149,"Groceries and Related Products, Not Elsewhere Classified",Wholesale Trade-non-durable Goods,Florida Coca-Cola Bottling Co,Coca-Cola,FL,5705 Desoto City Rd,8.83,2002,33870
Warsaw,0.72,1.44,Manufacturing,3716,Motor Homes,Transportation Equipment,Bodor Corporation,Explorer Van Company,IN,U S 30 West Fox Farm Rd,3.62,2002,46580
Pasadena,2.97,5.2,Services,8059,"Nursing and Personal Care Facilities, Not Elsewhere Classified",Health Services,Special Texas Homes Inc-H C S,,TX,1001 E Southmore Ave,7.43,2002,77502
Monee,5.34,5.34,Manufacturing,3471,"Electroplating, Plating, Polishing, Anodizing, and Coloring","Fabricated Metal Products, Except Machinery And Transportation Equipment",South Holland Met Finshg Inc,,IL,26100 Whiting Way,6.68,2002,60449
INDEPENDENCE,0.75,1.67,Manufacturing,3482,Small Arms Ammunition,"Fabricated Metal Products, Except Machinery And Transportation Equipment",Alliant Lake Cty Small Caliber,,MO,LAKE CITY ARMY AMMUNITION,2.68,2002,64051
